;;;;;;;;
UF;Município;Código Escola no INEP;CNPJ;Entidade;Segmento;Número de Alunos;Categoria;Conveniada
AP;SANTANA;16004698;34948471000148;FUNDACAO ORVALHO DE HERMON - ESCOLA JARDIM DE DEUS;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 17 ;Filantrópica;Municipal
BA;ANAGE;29448786;4999305000100;ESCOLA FAMILIA AGRICOLA DE ANAGE;ENSINO FUNDAMENTAL INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 72 ;Comunitária;Estadual
BA;ANAGE;29448786;4999305000100;ESCOLA FAMILIA AGRICOLA DE ANAGE;ENSINO FUNDAMENTAL INTEGRAL CAMPO ALTERNÂNCIA CONVENIADA ESPECIAL; 1 ;Comunitária;Estadual
BA;ANAGE;29448786;4999305000100;ESCOLA FAMILIA AGRICOLA DE ANAGE;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 67 ;Comunitária;Estadual
BA;ANAGE;29448786;4999305000100;ESCOLA FAMILIA AGRICOLA DE ANAGE;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA ESPECIAL; 1 ;Comunitária;Estadual
BA;ANGICAL;29376718;826201000142;ESCOLA FAMILIA AGRICOLA JOSE NUNES DA MATA;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 179 ;Comunitária;Estadual
BA;ANGICAL;29376718;826201000142;ESCOLA FAMILIA AGRICOLA JOSE NUNES DA MATA;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA ESPECIAL; 1 ;Comunitária;Estadual
BA;ANTONIO GONCALVES;29522803;;ESCOLA FAMILIA AGRICOLA DE ANTONIO GONCALVES;ENSINO FUNDAMENTAL INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 57 ;Comunitária;Estadual
BA;ANTONIO GONCALVES;29522803;;ESCOLA FAMILIA AGRICOLA DE ANTONIO GONCALVES;ENSINO FUNDAMENTAL INTEGRAL CAMPO ALTERNÂNCIA CONVENIADA ESPECIAL; 1 ;Comunitária;Estadual
BA;ANTONIO GONCALVES;29522803;;ESCOLA FAMILIA AGRICOLA DE ANTONIO GONCALVES;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 44 ;Comunitária;Estadual
BA;BARREIRAS;29433363;;FUNDACAO CARITAS DE ASSISTENCIA A PESSOA CARENTE - LAR DE EMMANUEL;CRECHE PARCIAL CONVENIADA; 30 ;Filantrópica;Municipal
BA;BARREIRAS;29433363;;FUNDACAO CARITAS DE ASSISTENCIA A PESSOA CARENTE - LAR DE EMMANUEL;PRÉ-ESCOLA PARCIAL CONVENIADA; 75 ;Filantrópica;Municipal
BA;BOQUIRA;29203449;14570741000112;ASSOCIACAO FRATERNA SAO JOSE;CRECHE INTEGRAL CONVENIADA; 34 ;Filantrópica;Municipal
BA;BOQUIRA;29203449;14570741000112;ASSOCIACAO FRATERNA SAO JOSE;PRÉ-ESCOLA INTEGRAL CONVENIADA; 29 ;Filantrópica;Municipal
BA;BOQUIRA;29203449;14570741000112;ASSOCIACAO FRATERNA SAO JOSE;PRÉ-ESCOLA INTEGRAL CONVENIADA ESPECIAL; 1 ;Filantrópica;Municipal
BA;BOQUIRA;29203473;;ESCOLA FAMILIA AGRICOLA DE BOQUIRA;ENSINO FUNDAMENTAL INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 92 ;Comunitária;Estadual
BA;BOQUIRA;29203473;;ESCOLA FAMILIA AGRICOLA DE BOQUIRA;ENSINO FUNDAMENTAL INTEGRAL CAMPO ALTERNÂNCIA CONVENIADA ESPECIAL; 1 ;Comunitária;Estadual
BA;BOQUIRA;29203473;;ESCOLA FAMILIA AGRICOLA DE BOQUIRA;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 83 ;Comunitária;Estadual
BA;BOQUIRA;29203473;;ESCOLA FAMILIA AGRICOLA DE BOQUIRA;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA ESPECIAL; 1 ;Comunitária;Estadual
BA;BOTUPORA;29397723;;ESCOLA FAMILIA AGRICOLA DE BOTUPORA;ENSINO FUNDAMENTAL INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 43 ;Comunitária;Estadual
BA;BOTUPORA;29397723;;ESCOLA FAMILIA AGRICOLA DE BOTUPORA;ENSINO FUNDAMENTAL INTEGRAL CAMPO ALTERNÂNCIA CONVENIADA ESPECIAL; 2 ;Comunitária;Estadual
BA;BOTUPORA;29397723;;ESCOLA FAMILIA AGRICOLA DE BOTUPORA;ENSINO MÉDIO INTEGRAL CAMPO CONVENIADA ALTERNÂNCIA; 97 ;Comunitária;Estadual
