Anexo VI;;;;;;;;;;;
Portaria Interministerial nº 11, de 28 de Agosto de 2026;;;;;;;;;;;
"Redes de Ensino Beneficiadas e Valores Distribuídos - Complementação da União-VAAR Ano de 2026
(art. 16, inciso VIII, da Lei nº 14.113/2020)";;;;;;;;;;;
;;;;;;;;;;;
UF;Ente Federado;Código IBGE;Coeficientes de distribuição da complementação da União-VAAR;Complementação da União-VAAR (R$);;;;;;;
AL;PIRANHAS;2707107;0,000420272874;3.193.989,06;;;;;;;
AL;POCO DAS TRINCHEIRAS;2707206;0,000261161442;1.984.774,28;;;;;;;
AL;PORTO CALVO;2707305;0,000580558172;4.412.125,00;;;;;;;
AL;PORTO DE PEDRAS;2707404;0,000179933861;1.367.461,05;;;;;;;
AL;PORTO REAL DO COLEGIO;2707503;0,000302073475;2.295.697,48;;;;;;;
AL;RIO LARGO;2707701;0,00156354325;11.882.613,3;;;;;;;
AL;ROTEIRO;2707800;0,000152970965;1.162.548,48;;;;;;;
AL;SANTA LUZIA DO NORTE;2707909;0,000130999309;995.568,32;;;;;;;
AL;SANTANA DO IPANEMA;2708006;0,000301099926;2.288.298,7;;;;;;;
AL;SANTANA DO MUNDAU;2708105;0,000430318937;3.270.337,12;;;;;;;
AL;SAO BRAS;2708204;0,000063057243;479.222,33;;;;;;;
AL;SAO JOSE DA LAJE;2708303;0,00047257065;3.591.441,61;;;;;;;
AL;SAO LUIS DO QUITUNDE;2708501;0,00047004387;3.572.238,59;;;;;;;
AL;SAO MIGUEL DOS CAMPOS;2708600;0,000872139662;6.628.085,5;;;;;;;
AL;SAO MIGUEL DOS MILAGRES;2708709;0,000185411571;1.409.090,54;;;;;;;
AL;SAO SEBASTIAO;2708808;0,000609205632;4.629.839,91;;;;;;;
AL;SATUBA;2708907;0,000397794866;3.023.160,74;;;;;;;
AL;SENADOR RUI PALMEIRA;2708956;0,000265759541;2.019.718,9;;;;;;;
AL;TANQUE DARCA;2709004;0,000118394199;899.772,03;;;;;;;
AL;TAQUARANA;2709103;0,000483204618;3.672.257,62;;;;;;;
AL;TEOTONIO VILELA;2709152;0,001181501582;8.979.173,69;;;;;;;
AL;TRAIPU;2709202;0,000303744691;2.308.398,38;;;;;;;
AL;UNIAO DOS PALMARES;2709301;0,001547874718;11.763.535,62;;;;;;;
AL;VICOSA;2709400;0,000381539364;2.899.622,2;;;;;;;
AM;ALVARAES;1300029;0,000172141872;1.308.243,5;;;;;;;
AM;AMAZONAS;13;0,032378646641;246.071.183,02;;;;;;;
AM;ANAMA;1300086;0,000085939883;653.125,77;;;;;;;
AM;AUTAZES;1300300;0,000631834493;4.801.814,69;;;;;;;
AM;BARREIRINHA;1300508;0,000698001381;5.304.669,69;;;;;;;
AM;BENJAMIN CONSTANT;1300607;0,001040091421;7.904.484,99;;;;;;;
AM;BOA VISTA DO RAMOS;1300680;0,000293784866;2.232.705,72;;;;;;;
AM;BOCA DO ACRE;1300706;0,00050265069;3.820.043,85;;;;;;;
AM;BORBA;1300805;0,000268700673;2.042.070,91;;;;;;;
AM;CAAPIRANGA;1300839;0,000180640605;1.372.832,16;;;;;;;
AM;CANUTAMA;1300904;0,000202409273;1.538.269,64;;;;;;;
AM;CARAUARI;1301001;0,000244767531;1.860.183,86;;;;;;;
AM;CAREIRO DA VARZEA;1301159;0,000303092395;2.303.441,06;;;;;;;
AM;COARI;1301209;0,000913319151;6.941.041,31;;;;;;;
AM;FONTE BOA;1301605;0,000526889558;4.004.254,36;;;;;;;
AM;GUAJARA;1301654;0,000212990903;1.618.687,9;;;;;;;
AM;HUMAITA;1301704;0,000834330794;6.340.745,73;;;;;;;
AM;IPIXUNA;1301803;0,000143531145;1.090.807,75;;;;;;;
AM;ITACOATIARA;1301902;0,001381708334;10.500.704,62;;;;;;;
AM;ITAPIRANGA;1302009;0,000171120667;1.300.482,55;;;;;;;
AM;JAPURA;1302108;0,000123937462;941.899,71;;;;;;;
AM;JURUA;1302207;0,000214415771;1.629.516,61;;;;;;;
AM;JUTAI;1302306;0,000641096638;4.872.205,13;;;;;;;
AM;LABREA;1302405;0,000341645662;2.596.438,11;;;;;;;
AM;MANAQUIRI;1302553;0,000313964107;2.386.063,88;;;;;;;
AM;MARAA;1302801;0,000352521855;2.679.094,99;;;;;;;
AM;NHAMUNDA;1303007;0,00029888736;2.271.483,64;;;;;;;
AM;NOVA OLINDA DO NORTE;1303106;0,000523517763;3.978.629,39;;;;;;;
AM;NOVO AIRAO;1303205;0,000142200521;1.080.695,27;;;;;;;
