Cronograma da Complementação da União-VAAF 2026 - Portaria Interministerial MEC MF nº 11, de 28 de Agosto de 2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;"Janeiro do
Ano Seguinte";Total
AL;COITE DO NOIA;2702009; 199.534,06 ; 219.487,47 ; 239.440,88 ; 259.394,28 ; 306.300,65 ; 324.961,66 ; 324.961,66 ; 346.625,77 ; 355.442,34 ; 355.004,20 ; 355.004,20 ; 355.004,20 ; 655.832,81 ; 4.296.994,19 
AL;COLONIA LEOPOLDINA;2702108; 320.064,11 ; 352.070,52 ; 384.076,93 ; 416.083,34 ; 491.323,84 ; 521.257,18 ; 521.257,18 ; 556.007,66 ; 565.994,61 ; 568.874,52 ; 568.874,52 ; 568.874,52 ; 1.050.935,66 ; 6.885.694,60 
AL;COQUEIRO SECO;2702207; 86.660,27 ; 95.326,30 ; 103.992,33 ; 112.658,36 ; 133.030,41 ; 141.135,13 ; 141.135,13 ; 150.544,14 ; 155.068,39 ; 154.278,79 ; 154.278,79 ; 154.278,79 ; 285.013,79 ; 1.867.400,64 
AL;CORURIPE;2702306; 1.031.515,68 ; 1.134.667,25 ; 1.237.818,82 ; 1.340.970,39 ; 1.583.458,56 ; 1.679.928,94 ; 1.679.928,94 ; 1.791.924,20 ; 1.876.815,87 ; 1.840.655,07 ; 1.840.655,07 ; 1.840.655,07 ; 3.400.416,04 ; 22.279.409,88 
AL;CRAIBAS;2702355; 523.611,45 ; 575.972,59 ; 628.333,73 ; 680.694,88 ; 803.785,19 ; 852.754,87 ; 852.754,87 ; 909.605,19 ; 931.244,97 ; 931.385,42 ; 931.385,42 ; 931.385,42 ; 1.720.636,29 ; 11.273.550,27 
AL;DELMIRO GOUVEIA;2702405; 714.863,13 ; 786.349,44 ; 857.835,76 ; 929.322,07 ; 1.097.371,73 ; 1.164.227,82 ; 1.164.227,82 ; 1.241.843,01 ; 1.285.463,62 ; 1.273.518,41 ; 1.273.518,41 ; 1.273.518,41 ; 2.352.690,91 ; 15.414.750,56 
AL;DOIS RIACHOS;2702504; 237.190,05 ; 260.909,06 ; 284.628,07 ; 308.347,07 ; 364.105,60 ; 386.288,30 ; 386.288,30 ; 412.040,85 ; 423.113,41 ; 422.082,06 ; 422.082,06 ; 422.082,06 ; 779.752,07 ; 5.108.908,95 
AL;ESTRELA DE ALAGOAS;2702553; 257.950,86 ; 283.745,95 ; 309.541,03 ; 335.336,12 ; 395.975,07 ; 420.099,40 ; 420.099,40 ; 448.106,03 ; 458.468,92 ; 458.794,77 ; 458.794,77 ; 458.794,77 ; 847.574,93 ; 5.553.282,01 
AL;FEIRA GRANDE;2702603; 374.995,17 ; 412.494,70 ; 449.994,21 ; 487.493,73 ; 575.647,41 ; 610.718,05 ; 610.718,05 ; 651.432,59 ; 663.133,55 ; 666.507,73 ; 666.507,73 ; 666.507,73 ; 1.231.302,72 ; 8.067.453,39 
AL;FELIZ DESERTO;2702702; 78.589,17 ; 86.448,08 ; 94.306,99 ; 102.165,91 ; 120.640,60 ; 127.990,50 ; 127.990,50 ; 136.523,20 ; 138.975,42 ; 139.682,55 ; 139.682,55 ; 139.682,55 ; 258.048,78 ; 1.690.726,81 
AL;FLEXEIRAS;2702801; 182.673,33 ; 200.940,66 ; 219.207,99 ; 237.475,33 ; 280.418,08 ; 297.502,23 ; 297.502,23 ; 317.335,71 ; 323.368,18 ; 324.725,16 ; 324.725,16 ; 324.725,16 ; 599.895,48 ; 3.930.494,70 
AL;GIRAU DO PONCIANO;2702900; 801.793,53 ; 881.972,88 ; 962.152,24 ; 1.042.331,59 ; 1.230.816,79 ; 1.305.802,88 ; 1.305.802,88 ; 1.392.856,41 ; 1.431.276,36 ; 1.426.936,03 ; 1.426.936,03 ; 1.426.936,03 ; 2.636.113,76 ; 17.271.727,41 
AL;IBATEGUARA;2703007; 285.612,25 ; 314.173,48 ; 342.734,70 ; 371.295,93 ; 438.437,51 ; 465.148,80 ; 465.148,80 ; 496.158,72 ; 505.896,73 ; 507.754,43 ; 507.754,43 ; 507.754,43 ; 938.022,73 ; 6.145.892,94 
AL;IGACI;2703106; 334.085,70 ; 367.494,27 ; 400.902,84 ; 434.311,41 ; 512.848,11 ; 544.092,78 ; 544.092,78 ; 580.365,63 ; 592.680,87 ; 594.056,73 ; 594.056,73 ; 594.056,73 ; 1.097.457,14 ; 7.190.501,75 
AL;IGREJA NOVA;2703205; 382.090,63 ; 420.299,70 ; 458.508,76 ; 496.717,82 ; 586.539,49 ; 622.273,73 ; 622.273,73 ; 663.758,65 ; 686.850,14 ; 680.658,18 ; 680.658,18 ; 680.658,18 ; 1.257.444,18 ; 8.238.731,39 
AL;INHAPI;2703304; 375.721,65 ; 413.293,81 ; 450.865,98 ; 488.438,14 ; 576.762,58 ; 611.901,18 ; 611.901,18 ; 652.694,60 ; 669.106,93 ; 668.445,07 ; 668.445,07 ; 668.445,07 ; 1.234.881,73 ; 8.090.902,99 
AL;JACARE DOS HOMENS;2703403; 178.513,47 ; 196.364,82 ; 214.216,17 ; 232.067,51 ; 274.032,37 ; 290.727,47 ; 290.727,47 ; 310.109,30 ; 315.679,45 ; 317.285,71 ; 317.285,71 ; 317.285,71 ; 586.151,87 ; 3.840.447,03 
AL;JACUIPE;2703502; 110.575,55 ; 121.633,10 ; 132.690,66 ; 143.748,21 ; 169.742,26 ; 180.083,61 ; 180.083,61 ; 192.089,18 ; 195.613,83 ; 196.544,66 ; 196.544,66 ; 196.544,66 ; 363.095,53 ; 2.378.989,52 
AL;JAPARATINGA;2703601; 169.441,92 ; 186.386,11 ; 203.330,30 ; 220.274,49 ; 260.106,80 ; 275.953,51 ; 275.953,51 ; 294.350,41 ; 300.496,27 ; 301.280,47 ; 301.280,47 ; 301.280,47 ; 556.583,88 ; 3.646.718,62 
AL;JARAMATAIA;2703700; 107.430,25 ; 118.173,28 ; 128.916,30 ; 139.659,33 ; 164.913,97 ; 174.961,17 ; 174.961,17 ; 186.625,24 ; 189.977,39 ; 190.944,04 ; 190.944,04 ; 190.944,04 ; 352.748,96 ; 2.311.199,15 
AL;JEQUIA DA PRAIA;2703759; 171.547,73 ; 188.702,50 ; 205.857,27 ; 223.012,04 ; 263.339,39 ; 279.383,04 ; 279.383,04 ; 298.008,57 ; 303.447,18 ; 304.916,77 ; 304.916,77 ; 304.916,77 ; 563.301,56 ; 3.690.732,60 
AL;JOAQUIM GOMES;2703809; 250.848,77 ; 275.933,64 ; 301.018,52 ; 326.103,40 ; 385.072,79 ; 408.532,91 ; 408.532,91 ; 435.768,44 ; 443.595,67 ; 445.852,78 ; 445.852,78 ; 445.852,78 ; 823.665,97 ; 5.396.631,35 
AL;JUNDIA;2703908; 126.194,76 ; 138.814,23 ; 151.433,71 ; 164.053,18 ; 193.718,98 ; 205.521,09 ; 205.521,09 ; 219.222,49 ; 223.160,14 ; 224.295,64 ; 224.295,64 ; 224.295,64 ; 414.362,52 ; 2.714.889,10 
AL;JUNQUEIRO;2704005; 361.422,05 ; 397.564,25 ; 433.706,46 ; 469.848,66 ; 554.811,56 ; 588.612,82 ; 588.612,82 ; 627.853,67 ; 639.874,69 ; 642.485,63 ; 642.485,63 ; 642.485,63 ; 1.186.924,42 ; 7.776.688,30 
AL;LAGOA DA CANOA;2704104; 400.652,75 ; 440.718,02 ; 480.783,29 ; 520.848,57 ; 615.033,80 ; 652.504,03 ; 652.504,03 ; 696.004,30 ; 708.505,86 ; 712.110,90 ; 712.110,90 ; 712.110,90 ; 1.315.549,75 ; 8.619.437,09 
AL;LIMOEIRO DE ANADIA;2704203; 686.797,04 ; 755.476,74 ; 824.156,45 ; 892.836,15 ; 1.054.288,04 ; 1.118.519,32 ; 1.118.519,32 ; 1.193.087,28 ; 1.216.022,91 ; 1.220.904,60 ; 1.220.904,60 ; 1.220.904,60 ; 2.255.492,44 ; 14.777.909,50 
AL;MACEIO;2704302; 4.183.986,59 ; 4.602.385,25 ; 5.020.783,91 ; 5.439.182,57 ; 6.422.751,95 ; 6.814.050,68 ; 6.814.050,68 ; 7.268.320,73 ; 7.399.686,95 ; 7.436.632,83 ; 7.436.632,83 ; 7.436.632,83 ; 13.738.394,54 ; 90.013.492,32 
AL;MAJOR ISIDORO;2704401; 366.807,23 ; 403.487,96 ; 440.168,68 ; 476.849,40 ; 563.078,26 ; 597.383,15 ; 597.383,15 ; 637.208,69 ; 648.654,16 ; 651.954,67 ; 651.954,67 ; 651.954,67 ; 1.204.417,47 ; 7.891.302,15 
AL;MAR VERMELHO;2704906; 53.099,48 ; 58.409,44 ; 63.719,38 ; 69.029,33 ; 81.511,94 ; 86.477,95 ; 86.477,95 ; 92.243,15 ; 93.900,01 ; 94.377,80 ; 94.377,80 ; 94.377,80 ; 174.353,02 ; 1.142.355,06 
AL;MARAGOGI;2704500; 486.892,78 ; 535.582,06 ; 584.271,34 ; 632.960,61 ; 747.419,11 ; 792.954,76 ; 792.954,76 ; 845.818,41 ; 861.681,19 ; 865.484,30 ; 865.484,30 ; 865.484,30 ; 1.598.890,93 ; 10.475.878,85 
