Cronograma da Complementação da União-VAAF 2026 - Portaria Interministerial MEC MF nº 11, de 28 de Agosto de 2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;"Janeiro do
Ano Seguinte";Total
BA;MORTUGABA;2921807; 252.762,86 ; 278.039,15 ; 303.315,43 ; 328.591,72 ; 386.617,70 ; 409.320,72 ; 409.320,72 ; 436.608,76 ; 465.817,86 ; 468.398,11 ; 468.398,11 ; 468.398,11 ; 865.316,09 ; 5.540.905,34 
BA;MUCUGE;2921906; 206.759,38 ; 227.435,32 ; 248.111,26 ; 268.787,20 ; 316.252,32 ; 334.823,32 ; 334.823,32 ; 357.144,87 ; 381.157,72 ; 383.165,65 ; 383.165,65 ; 383.165,65 ; 707.858,11 ; 4.532.649,78 
BA;MUCURI;2922003; 649.108,52 ; 714.019,37 ; 778.930,22 ; 843.841,07 ; 992.854,89 ; 1.051.157,44 ; 1.051.157,44 ; 1.121.234,60 ; 1.215.998,14 ; 1.205.700,44 ; 1.205.700,44 ; 1.205.700,44 ; 2.227.404,36 ; 14.262.807,39 
BA;MULUNGU DO MORRO;2922052; 374.417,83 ; 411.859,61 ; 449.301,39 ; 486.743,17 ; 572.697,10 ; 606.327,10 ; 606.327,10 ; 646.748,90 ; 690.016,37 ; 693.838,49 ; 693.838,49 ; 693.838,49 ; 1.281.793,40 ; 8.207.747,44 
BA;MUNDO NOVO;2922102; 367.616,72 ; 404.378,39 ; 441.140,06 ; 477.901,73 ; 562.294,36 ; 595.313,48 ; 595.313,48 ; 635.001,05 ; 680.006,96 ; 681.596,82 ; 681.596,82 ; 681.596,82 ; 1.259.178,22 ; 8.062.934,91 
BA;MUNIZ FERREIRA;2922201; 118.956,11 ; 130.851,72 ; 142.747,33 ; 154.642,94 ; 181.951,32 ; 192.635,89 ; 192.635,89 ; 205.478,28 ; 225.091,22 ; 221.279,31 ; 221.279,31 ; 221.279,31 ; 408.790,17 ; 2.617.618,78 
BA;MUQUEM DE SAO FRANCISCO;2922250; 343.162,38 ; 377.478,62 ; 411.794,85 ; 446.111,09 ; 524.889,81 ; 555.712,46 ; 555.712,46 ; 592.759,95 ; 642.898,75 ; 637.420,06 ; 637.420,06 ; 637.420,06 ; 1.177.566,31 ; 7.540.346,87 
BA;MURITIBA;2922300; 616.273,79 ; 677.901,16 ; 739.528,54 ; 801.155,92 ; 942.631,97 ; 997.985,33 ; 997.985,33 ; 1.064.517,68 ; 1.135.733,85 ; 1.142.024,88 ; 1.142.024,88 ; 1.142.024,88 ; 2.109.770,48 ; 13.509.558,69 
BA;MUTUIPE;2922409; 360.778,99 ; 396.856,89 ; 432.934,79 ; 469.012,69 ; 551.835,59 ; 584.240,55 ; 584.240,55 ; 623.189,93 ; 664.881,29 ; 668.564,19 ; 668.564,19 ; 668.564,19 ; 1.235.101,80 ; 7.908.765,63 
BA;NAZARE;2922508; 437.201,06 ; 480.921,16 ; 524.641,27 ; 568.361,38 ; 668.728,26 ; 707.997,41 ; 707.997,41 ; 755.197,23 ; 808.498,13 ; 810.580,82 ; 810.580,82 ; 810.580,82 ; 1.497.462,54 ; 9.588.748,30 
BA;NILO PECANHA;2922607; 432.173,22 ; 475.390,54 ; 518.607,86 ; 561.825,18 ; 661.037,84 ; 699.855,39 ; 699.855,39 ; 746.512,41 ; 809.056,96 ; 802.670,78 ; 802.670,78 ; 802.670,78 ; 1.482.849,58 ; 9.495.176,71 
BA;NORDESTINA;2922656; 511.125,57 ; 562.238,13 ; 613.350,69 ; 664.463,25 ; 781.800,76 ; 827.709,76 ; 827.709,76 ; 882.890,41 ; 957.941,92 ; 949.462,98 ; 949.462,98 ; 949.462,98 ; 1.754.032,69 ; 11.231.651,87 
BA;NOVA CANAA;2922706; 396.267,53 ; 435.894,28 ; 475.521,03 ; 515.147,79 ; 606.117,69 ; 641.710,21 ; 641.710,21 ; 684.490,89 ; 730.283,29 ; 734.328,46 ; 734.328,46 ; 734.328,46 ; 1.356.594,35 ; 8.686.722,64 
BA;NOVA FATIMA;2922730; 208.551,57 ; 229.406,72 ; 250.261,88 ; 271.117,03 ; 318.993,56 ; 337.725,55 ; 337.725,55 ; 360.240,58 ; 384.340,66 ; 386.469,58 ; 386.469,58 ; 386.469,58 ; 713.961,78 ; 4.571.733,62 
BA;NOVA IBIA;2922755; 174.458,09 ; 191.903,89 ; 209.349,70 ; 226.795,51 ; 266.845,30 ; 282.515,03 ; 282.515,03 ; 301.349,36 ; 321.509,62 ; 323.290,52 ; 323.290,52 ; 323.290,52 ; 597.245,12 ; 3.824.358,18 
BA;NOVA ITARANA;2922805; 233.798,08 ; 257.177,89 ; 280.557,69 ; 303.937,50 ; 357.609,80 ; 378.609,41 ; 378.609,41 ; 403.850,03 ; 432.432,71 ; 433.478,39 ; 433.478,39 ; 433.478,39 ; 800.805,59 ; 5.127.823,27 
BA;NOVA REDENCAO;2922854; 156.155,13 ; 171.770,64 ; 187.386,15 ; 203.001,66 ; 238.849,70 ; 252.875,47 ; 252.875,47 ; 269.733,83 ; 288.723,34 ; 289.508,32 ; 289.508,32 ; 289.508,32 ; 534.836,07 ; 3.424.732,41 
BA;NOVA SOURE;2922904; 503.708,62 ; 554.079,49 ; 604.450,35 ; 654.821,21 ; 770.456,03 ; 815.698,85 ; 815.698,85 ; 870.078,77 ; 932.807,70 ; 934.076,41 ; 934.076,41 ; 934.076,41 ; 1.725.607,61 ; 11.049.636,71 
BA;NOVA VICOSA;2923001; 752.633,58 ; 827.896,94 ; 903.160,30 ; 978.423,66 ; 1.151.203,42 ; 1.218.804,52 ; 1.218.804,52 ; 1.300.058,15 ; 1.398.318,54 ; 1.396.331,48 ; 1.396.331,48 ; 1.396.331,48 ; 2.579.575,10 ; 16.517.873,18 
BA;NOVO HORIZONTE;2923035; 353.797,09 ; 389.176,80 ; 424.556,51 ; 459.936,22 ; 541.156,32 ; 572.934,17 ; 572.934,17 ; 611.129,78 ; 652.014,33 ; 655.625,95 ; 655.625,95 ; 655.625,95 ; 1.211.199,77 ; 7.755.713,00 
BA;NOVO TRIUNFO;2923050; 312.905,44 ; 344.195,98 ; 375.486,52 ; 406.777,07 ; 478.609,79 ; 506.714,78 ; 506.714,78 ; 540.495,76 ; 578.331,69 ; 580.089,25 ; 580.089,25 ; 580.089,25 ; 1.071.653,68 ; 6.862.153,22 
BA;OLINDINA;2923100; 559.895,31 ; 615.884,84 ; 671.874,37 ; 727.863,90 ; 856.397,32 ; 906.686,79 ; 906.686,79 ; 967.132,58 ; 1.056.047,06 ; 1.041.017,13 ; 1.041.017,13 ; 1.041.017,13 ; 1.923.169,31 ; 12.314.689,65 
BA;OLIVEIRA DOS BREJINHOS;2923209; 513.071,82 ; 564.379,01 ; 615.686,19 ; 666.993,38 ; 784.777,69 ; 830.861,49 ; 830.861,49 ; 886.252,26 ; 947.253,11 ; 951.025,01 ; 951.025,01 ; 951.025,01 ; 1.756.918,36 ; 11.250.129,83 
BA;OURICANGAS;2923308; 195.714,85 ; 215.286,33 ; 234.857,82 ; 254.429,30 ; 299.358,95 ; 316.937,94 ; 316.937,94 ; 338.067,14 ; 361.419,79 ; 362.787,11 ; 362.787,11 ; 362.787,11 ; 670.210,91 ; 4.291.582,32 
BA;OUROLANDIA;2923357; 460.229,50 ; 506.252,44 ; 552.275,39 ; 598.298,34 ; 703.951,79 ; 745.289,34 ; 745.289,34 ; 794.975,29 ; 867.816,83 ; 855.672,65 ; 855.672,65 ; 855.672,65 ; 1.580.764,94 ; 10.122.161,12 
BA;PALMAS DE MONTE ALTO;2923407; 351.370,98 ; 386.508,08 ; 421.645,18 ; 456.782,27 ; 537.445,41 ; 569.005,35 ; 569.005,35 ; 606.939,04 ; 675.081,67 ; 655.074,24 ; 655.074,24 ; 655.074,24 ; 1.210.180,54 ; 7.749.186,59 
BA;PALMEIRAS;2923506; 166.200,20 ; 182.820,22 ; 199.440,24 ; 216.060,26 ; 254.214,33 ; 269.142,33 ; 269.142,33 ; 287.085,15 ; 306.291,14 ; 307.987,73 ; 307.987,73 ; 307.987,73 ; 568.974,84 ; 3.643.334,26 
BA;PARAMIRIM;2923605; 400.741,86 ; 440.816,05 ; 480.890,24 ; 520.964,42 ; 557.304,61 ; 634.251,75 ; 634.251,75 ; 676.535,20 ; 729.900,01 ; 726.954,29 ; 726.954,29 ; 726.954,29 ; 1.342.971,36 ; 8.599.490,13 
BA;PARATINGA;2923704; 606.415,23 ; 667.056,75 ; 727.698,27 ; 788.339,79 ; 927.552,65 ; 982.020,51 ; 982.020,51 ; 1.047.488,55 ; 1.124.445,81 ; 1.124.741,29 ; 1.124.741,29 ; 1.124.741,29 ; 2.077.840,86 ; 13.305.102,80 
BA;PARIPIRANGA;2923803; 508.000,40 ; 558.800,45 ; 609.600,49 ; 660.400,53 ; 777.020,60 ; 822.648,90 ; 822.648,90 ; 877.492,16 ; 941.865,53 ; 942.194,05 ; 942.194,05 ; 942.194,05 ; 1.740.604,11 ; 11.145.664,23 
BA;PAU BRASIL;2923902; 202.746,94 ; 223.021,63 ; 243.296,33 ; 263.571,02 ; 310.115,00 ; 328.325,61 ; 328.325,61 ; 350.213,99 ; 373.643,29 ; 375.712,96 ; 375.712,96 ; 375.712,96 ; 694.090,05 ; 4.444.488,34 
BA;PAULO AFONSO;2924009; 1.475.008,19 ; 1.622.509,00 ; 1.770.009,82 ; 1.917.510,64 ; 2.256.123,67 ; 2.388.608,05 ; 2.388.608,05 ; 2.547.848,59 ; 2.718.299,51 ; 2.733.356,64 ; 2.733.356,64 ; 2.733.356,64 ; 5.049.588,01 ; 32.334.183,44 
BA;PE DE SERRA;2924058; 430.349,24 ; 473.384,16 ; 516.419,09 ; 559.454,01 ; 658.247,94 ; 696.901,66 ; 696.901,66 ; 743.361,77 ; 793.092,63 ; 797.485,71 ; 797.485,71 ; 797.485,71 ; 1.473.270,71 ; 9.433.840,00 
BA;PEDRAO;2924108; 155.444,21 ; 170.988,63 ; 186.533,05 ; 202.077,47 ; 237.762,31 ; 251.724,22 ; 251.724,22 ; 268.505,84 ; 291.420,76 ; 288.764,89 ; 288.764,89 ; 288.764,89 ; 533.462,68 ; 3.415.938,09 
BA;PEDRO ALEXANDRE;2924207; 375.980,52 ; 413.578,57 ; 451.176,62 ; 488.774,68 ; 575.087,34 ; 608.857,70 ; 608.857,70 ; 649.448,22 ; 692.896,27 ; 696.734,34 ; 696.734,34 ; 696.734,34 ; 1.287.143,18 ; 8.242.003,83 
BA;PIATA;2924306; 378.287,64 ; 416.116,40 ; 453.945,16 ; 491.773,93 ; 578.616,23 ; 612.593,82 ; 612.593,82 ; 653.433,40 ; 697.148,06 ; 701.009,68 ; 701.009,68 ; 701.009,68 ; 1.295.041,43 ; 8.292.578,94 
BA;PILAO ARCADO;2924405; 698.251,02 ; 768.076,13 ; 837.901,23 ; 907.726,33 ; 1.068.021,65 ; 1.130.738,14 ; 1.130.738,14 ; 1.206.120,69 ; 1.286.810,09 ; 1.293.937,96 ; 1.293.937,96 ; 1.293.937,96 ; 2.390.413,86 ; 15.306.611,14 
BA;PINDAI;2924504; 455.661,35 ; 501.227,48 ; 546.793,62 ; 592.359,75 ; 696.964,50 ; 737.891,74 ; 737.891,74 ; 787.084,53 ; 858.481,73 ; 847.076,10 ; 847.076,10 ; 847.076,10 ; 1.564.883,73 ; 10.020.468,49 
BA;PINDOBACU;2924603; 763.755,22 ; 840.130,74 ; 916.506,27 ; 992.881,79 ; 1.168.214,71 ; 1.236.814,75 ; 1.236.814,75 ; 1.319.269,06 ; 1.407.528,07 ; 1.415.324,63 ; 1.415.324,63 ; 1.415.324,63 ; 2.614.662,92 ; 16.742.552,15 
BA;PINTADAS;2924652; 282.582,59 ; 310.840,85 ; 339.099,11 ; 367.357,37 ; 432.228,97 ; 457.610,37 ; 457.610,37 ; 488.117,73 ; 525.535,21 ; 524.339,52 ; 524.339,52 ; 524.339,52 ; 968.661,95 ; 6.202.663,09 
BA;PIRAI DO NORTE;2924678; 184.070,68 ; 202.477,75 ; 220.884,81 ; 239.291,88 ; 281.548,41 ; 298.081,54 ; 298.081,54 ; 317.953,64 ; 339.224,72 ; 341.103,74 ; 341.103,74 ; 341.103,74 ; 630.153,18 ; 4.035.079,37 
BA;PIRIPA;2924702; 204.638,58 ; 225.102,45 ; 245.566,31 ; 266.030,17 ; 313.008,42 ; 331.388,93 ; 331.388,93 ; 353.481,53 ; 377.129,42 ; 379.218,40 ; 379.218,40 ; 379.218,40 ; 700.565,99 ; 4.485.955,93 
BA;PIRITIBA;2924801; 325.407,18 ; 357.947,90 ; 390.488,61 ; 423.029,33 ; 497.732,05 ; 526.959,93 ; 526.959,93 ; 562.090,59 ; 603.279,69 ; 603.529,73 ; 603.529,73 ; 603.529,73 ; 1.114.957,49 ; 7.139.441,88 
BA;PLANALTINO;2924900; 173.094,30 ; 190.403,72 ; 207.713,15 ; 225.022,58 ; 264.759,30 ; 280.306,53 ; 280.306,53 ; 298.993,63 ; 318.996,29 ; 320.763,27 ; 320.763,27 ; 320.763,27 ; 592.576,29 ; 3.794.462,13 
BA;PLANALTO;2925006; 369.266,06 ; 406.192,67 ; 443.119,27 ; 480.045,88 ; 564.817,14 ; 597.984,40 ; 597.984,40 ; 637.850,03 ; 681.122,67 ; 684.377,70 ; 684.377,70 ; 684.377,70 ; 1.264.315,59 ; 8.095.831,20 
BA;POCOES;2925105; 845.163,92 ; 929.680,31 ; 1.014.196,70 ; 1.098.713,10 ; 1.292.734,75 ; 1.368.646,88 ; 1.368.646,88 ; 1.459.890,00 ; 1.569.023,34 ; 1.567.826,45 ; 1.567.826,45 ; 1.567.826,45 ; 2.896.393,95 ; 18.546.569,17 
BA;POJUCA;2925204; 468.641,87 ; 515.506,05 ; 562.370,24 ; 609.234,43 ; 936.198,79 ; 816.870,72 ; 816.870,72 ; 871.328,77 ; 930.172,08 ; 934.848,93 ; 934.848,93 ; 934.848,93 ; 1.727.034,76 ; 11.058.775,21 
BA;PONTO NOVO;2925253; 807.337,95 ; 888.071,74 ; 968.805,54 ; 1.049.539,33 ; 1.234.877,39 ; 1.307.392,01 ; 1.307.392,01 ; 1.394.551,48 ; 1.487.846,89 ; 1.496.088,33 ; 1.496.088,33 ; 1.496.088,33 ; 2.763.865,35 ; 17.697.944,69 
BA;PORTO SEGURO;2925303; 3.113.359,95 ; 3.424.695,95 ; 3.736.031,94 ; 4.047.367,94 ; 4.762.092,29 ; 5.041.732,47 ; 5.041.732,47 ; 5.377.847,97 ; 5.811.561,83 ; 5.779.996,80 ; 5.779.996,80 ; 5.779.996,80 ; 10.677.934,26 ; 68.374.347,47 
BA;POTIRAGUA;2925402; 215.690,05 ; 237.259,05 ; 258.828,05 ; 280.397,06 ; 329.912,35 ; 349.285,51 ; 349.285,51 ; 372.571,21 ; 397.929,03 ; 399.759,99 ; 399.759,99 ; 399.759,99 ; 738.514,41 ; 4.728.952,19 
BA;PRADO;2925501; 594.979,83 ; 654.477,81 ; 713.975,80 ; 773.473,78 ; 910.061,45 ; 963.502,19 ; 963.502,19 ; 1.027.735,67 ; 1.096.491,12 ; 1.102.564,78 ; 1.102.564,78 ; 1.102.564,78 ; 2.036.872,11 ; 13.042.766,29 
BA;PRESIDENTE DUTRA;2925600; 227.382,28 ; 250.120,51 ; 272.858,74 ; 295.596,97 ; 347.796,41 ; 368.219,76 ; 368.219,76 ; 392.767,74 ; 427.431,64 ; 422.566,36 ; 422.566,36 ; 422.566,36 ; 780.646,77 ; 4.998.739,68 
BA;PRESIDENTE JANIO QUADROS;2925709; 232.075,40 ; 255.282,94 ; 278.490,48 ; 301.698,02 ; 354.974,84 ; 375.819,72 ; 375.819,72 ; 400.874,37 ; 430.422,32 ; 430.452,83 ; 430.452,83 ; 430.452,83 ; 795.216,19 ; 5.092.032,51 
BA;PRESIDENTE TANCREDO NEVES;2925758; 581.351,69 ; 639.486,87 ; 697.622,04 ; 755.757,21 ; 889.216,31 ; 941.432,98 ; 941.432,98 ; 1.004.195,18 ; 1.091.208,12 ; 1.080.150,77 ; 1.080.150,77 ; 1.080.150,77 ; 1.995.464,59 ; 12.777.620,29 
BA;QUEIMADAS;2925808; 650.544,31 ; 715.598,75 ; 780.653,18 ; 845.707,61 ; 995.051,04 ; 1.053.482,56 ; 1.053.482,56 ; 1.123.714,73 ; 1.206.490,54 ; 1.206.620,45 ; 1.206.620,45 ; 1.206.620,45 ; 2.229.103,98 ; 14.273.690,61 
BA;QUIJINGUE;2925907; 946.990,95 ; 1.041.690,04 ; 1.136.389,14 ; 1.231.088,23 ; 1.448.485,99 ; 1.533.544,17 ; 1.533.544,17 ; 1.635.780,45 ; 1.745.214,06 ; 1.754.881,11 ; 1.754.881,11 ; 1.754.881,11 ; 3.241.957,70 ; 20.759.328,22 
BA;QUIXABEIRA;2925931; 584.467,08 ; 642.913,79 ; 701.360,50 ; 759.807,21 ; 833.772,91 ; 930.571,33 ; 930.571,33 ; 992.609,41 ; 1.064.624,83 ; 1.065.684,47 ; 1.065.684,47 ; 1.065.684,47 ; 1.968.739,62 ; 12.606.491,41 
BA;RAFAEL JAMBEIRO;2925956; 462.936,08 ; 509.229,69 ; 555.523,29 ; 601.816,90 ; 708.091,70 ; 749.672,35 ; 749.672,35 ; 799.650,50 ; 853.147,07 ; 857.872,80 ; 857.872,80 ; 857.872,80 ; 1.584.829,50 ; 10.148.187,84 
BA;REMANSO;2926004; 849.676,37 ; 934.644,00 ; 1.019.611,64 ; 1.104.579,27 ; 1.299.636,83 ; 1.375.954,27 ; 1.375.954,27 ; 1.467.684,55 ; 1.584.443,35 ; 1.577.205,98 ; 1.577.205,98 ; 1.577.205,98 ; 2.913.721,65 ; 18.657.524,16 
BA;RETIROLANDIA;2926103; 255.300,82 ; 280.830,90 ; 306.360,98 ; 331.891,06 ; 390.499,67 ; 413.430,64 ; 413.430,64 ; 440.992,69 ; 478.295,37 ; 474.218,41 ; 474.218,41 ; 474.218,41 ; 876.068,48 ; 5.609.756,49 
BA;RIACHAO DAS NEVES;2926202; 408.506,97 ; 449.357,67 ; 490.208,37 ; 531.059,07 ; 624.838,74 ; 661.530,60 ; 661.530,60 ; 705.632,64 ; 757.366,22 ; 757.657,87 ; 757.657,87 ; 757.657,87 ; 1.399.692,99 ; 8.962.697,48 
BA;RIACHAO DO JACUIPE;2926301; 502.935,00 ; 553.228,49 ; 603.521,99 ; 653.815,49 ; 812.047,45 ; 825.746,81 ; 825.746,81 ; 880.796,60 ; 939.721,85 ; 944.927,13 ; 944.927,13 ; 944.927,13 ; 1.745.653,17 ; 11.177.995,06 
BA;RIACHO DE SANTANA;2926400; 452.767,73 ; 498.044,50 ; 543.321,27 ; 588.598,04 ; 692.538,52 ; 733.205,85 ; 733.205,85 ; 782.086,24 ; 844.104,24 ; 840.418,46 ; 840.418,46 ; 840.418,46 ; 1.552.584,44 ; 9.941.712,09 
BA;RIBEIRA DO AMPARO;2926509; 509.797,89 ; 560.777,68 ; 611.757,47 ; 662.737,26 ; 779.769,97 ; 825.559,73 ; 825.559,73 ; 880.597,04 ; 939.630,78 ; 944.730,49 ; 944.730,49 ; 944.730,49 ; 1.745.289,90 ; 11.175.668,93 
BA;RIBEIRA DO POMBAL;2926608; 1.152.314,16 ; 1.267.545,58 ; 1.382.776,99 ; 1.498.008,41 ; 1.639.491,05 ; 1.833.532,73 ; 1.833.532,73 ; 1.955.768,24 ; 2.107.168,22 ; 2.101.111,68 ; 2.101.111,68 ; 2.101.111,68 ; 3.881.582,15 ; 24.855.055,30 
BA;RIBEIRAO DO LARGO;2926657; 207.399,41 ; 228.139,36 ; 248.879,30 ; 269.619,24 ; 317.231,29 ; 335.859,77 ; 335.859,77 ; 358.250,43 ; 388.977,54 ; 385.302,75 ; 385.302,75 ; 385.302,75 ; 711.806,17 ; 4.557.930,52 
BA;RIO DE CONTAS;2926707; 196.339,73 ; 215.973,70 ; 235.607,67 ; 255.241,64 ; 300.314,74 ; 317.949,86 ; 317.949,86 ; 339.146,52 ; 361.835,40 ; 363.839,67 ; 363.839,67 ; 363.839,67 ; 672.155,40 ; 4.304.033,54 
BA;RIO DO ANTONIO;2926806; 412.944,30 ; 454.238,73 ; 495.533,16 ; 536.827,59 ; 631.625,93 ; 668.716,35 ; 668.716,35 ; 713.297,44 ; 761.017,00 ; 765.232,40 ; 765.232,40 ; 765.232,40 ; 1.413.686,12 ; 9.052.300,17 
BA;RIO DO PIRES;2926905; 278.200,38 ; 306.020,41 ; 333.840,45 ; 361.660,48 ; 425.526,07 ; 450.513,87 ; 450.513,87 ; 480.548,13 ; 514.287,27 ; 515.764,49 ; 515.764,49 ; 515.764,49 ; 952.820,47 ; 6.101.224,87 
BA;RIO REAL;2927002; 798.311,38 ; 878.142,53 ; 957.973,66 ; 1.037.804,80 ; 1.221.070,66 ; 1.292.774,53 ; 1.292.774,53 ; 1.378.959,50 ; 1.471.317,36 ; 1.479.376,22 ; 1.479.376,22 ; 1.479.376,22 ; 2.732.991,49 ; 17.500.249,10 
BA;RODELAS;2927101; 189.164,14 ; 208.080,55 ; 226.996,97 ; 245.913,38 ; 289.339,21 ; 306.329,82 ; 306.329,82 ; 326.751,81 ; 348.611,48 ; 350.542,50 ; 350.542,50 ; 350.542,50 ; 647.590,29 ; 4.146.734,98 
BA;RUY BARBOSA;2927200; 442.304,35 ; 486.534,79 ; 530.765,22 ; 574.995,66 ; 676.534,09 ; 716.261,61 ; 716.261,61 ; 764.012,38 ; 815.229,89 ; 819.654,94 ; 819.654,94 ; 819.654,94 ; 1.514.226,02 ; 9.696.090,42 
BA;SALINAS DA MARGARIDA;2927309; 361.579,68 ; 397.737,64 ; 433.895,61 ; 470.053,58 ; 553.060,30 ; 585.537,18 ; 585.537,18 ; 624.572,99 ; 666.823,81 ; 670.114,83 ; 670.114,83 ; 670.114,83 ; 1.237.966,44 ; 7.927.108,89 
BA;SALVADOR;2927408; 15.633.294,91 ; 17.196.624,40 ; 18.759.953,89 ; 20.323.283,38 ; 23.896.674,61 ; 25.312.249,85 ; 25.312.249,85 ; 26.999.733,17 ; 28.827.523,62 ; 28.968.655,99 ; 28.968.655,99 ; 28.968.655,99 ; 53.516.535,58 ; 342.684.091,22 
BA;SANTA BARBARA;2927507; 452.294,14 ; 497.523,55 ; 542.752,97 ; 587.982,38 ; 691.814,14 ; 732.438,94 ; 732.438,94 ; 781.268,20 ; 837.782,82 ; 838.760,48 ; 838.760,48 ; 838.760,48 ; 1.549.521,49 ; 9.922.099,01 
BA;SANTA BRIGIDA;2927606; 264.510,21 ; 290.961,23 ; 317.412,25 ; 343.863,27 ; 404.586,05 ; 428.344,20 ; 428.344,20 ; 456.900,48 ; 487.572,47 ; 490.182,36 ; 490.182,36 ; 490.182,36 ; 905.560,19 ; 5.798.601,61 
BA;SANTA CRUZ CABRALIA;2927705; 735.705,77 ; 809.276,35 ; 882.846,93 ; 956.417,51 ; 1.125.311,19 ; 1.191.391,86 ; 1.191.391,86 ; 1.270.817,98 ; 1.384.707,14 ; 1.367.480,92 ; 1.367.480,92 ; 1.367.480,92 ; 2.526.276,73 ; 16.176.586,08 
BA;SANTA CRUZ DA VITORIA;2927804; 130.162,31 ; 143.178,54 ; 156.194,77 ; 169.211,00 ; 199.091,96 ; 210.783,06 ; 210.783,06 ; 224.835,27 ; 239.876,74 ; 241.205,45 ; 241.205,45 ; 241.205,45 ; 445.601,62 ; 2.853.334,69 
BA;SANTA INES;2927903; 267.301,73 ; 294.031,90 ; 320.762,08 ; 347.492,25 ; 408.855,88 ; 432.864,76 ; 432.864,76 ; 461.722,41 ; 492.611,62 ; 495.340,28 ; 495.340,28 ; 495.340,28 ; 915.088,90 ; 5.859.617,11 
BA;SANTA LUZIA;2928059; 302.629,55 ; 332.892,50 ; 363.155,46 ; 393.418,41 ; 462.892,14 ; 490.074,14 ; 490.074,14 ; 522.745,75 ; 566.839,64 ; 562.113,23 ; 562.113,23 ; 562.113,23 ; 1.038.444,88 ; 6.649.506,30 
BA;SANTA MARIA DA VITORIA;2928109; 757.666,05 ; 833.432,66 ; 909.199,26 ; 984.965,87 ; 1.158.900,90 ; 1.226.954,03 ; 1.226.954,03 ; 1.308.750,96 ; 1.400.404,09 ; 1.404.627,61 ; 1.404.627,61 ; 1.404.627,61 ; 2.594.901,31 ; 16.616.011,99 
BA;SANTA RITA DE CASSIA;2928406; 543.741,03 ; 598.115,14 ; 652.489,24 ; 706.863,35 ; 831.688,29 ; 880.526,79 ; 880.526,79 ; 939.228,57 ; 1.014.970,97 ; 1.009.462,25 ; 1.009.462,25 ; 1.009.462,25 ; 1.864.875,00 ; 11.941.411,93 
BA;SANTA TERESINHA;2928505; 228.186,88 ; 251.005,57 ; 273.824,25 ; 296.642,94 ; 349.027,09 ; 369.522,70 ; 369.522,70 ; 394.157,55 ; 420.647,65 ; 422.873,37 ; 422.873,37 ; 422.873,37 ; 781.213,93 ; 5.002.371,38 
BA;SANTALUZ;2928000; 867.097,20 ; 953.806,91 ; 1.040.516,63 ; 1.127.226,35 ; 1.326.283,16 ; 1.404.165,32 ; 1.404.165,32 ; 1.497.776,34 ; 1.598.688,17 ; 1.606.930,75 ; 1.606.930,75 ; 1.606.930,75 ; 2.968.635,03 ; 19.009.152,71 
BA;SANTANA;2928208; 370.076,08 ; 407.083,69 ; 444.091,30 ; 481.098,91 ; 566.056,12 ; 599.296,14 ; 599.296,14 ; 639.249,21 ; 687.359,94 ; 686.558,28 ; 686.558,28 ; 686.558,28 ; 1.268.343,98 ; 8.121.626,34 
BA;SANTANOPOLIS;2928307; 176.879,15 ; 194.567,07 ; 212.254,98 ; 229.942,90 ; 270.548,49 ; 286.435,67 ; 286.435,67 ; 305.531,39 ; 327.909,89 ; 328.054,66 ; 328.054,66 ; 328.054,66 ; 606.046,38 ; 3.880.715,58 
BA;SANTO AMARO;2928604; 987.900,92 ; 1.086.691,01 ; 1.185.481,10 ; 1.284.271,19 ; 1.511.060,53 ; 1.599.793,22 ; 1.599.793,22 ; 1.706.446,10 ; 1.838.102,46 ; 1.833.197,63 ; 1.833.197,63 ; 1.833.197,63 ; 3.386.639,21 ; 21.685.771,86 
BA;SANTO ANTONIO DE JESUS;2928703; 1.170.718,65 ; 1.287.790,51 ; 1.404.862,37 ; 1.521.934,24 ; 1.790.692,47 ; 1.895.845,74 ; 1.895.845,74 ; 2.022.235,46 ; 2.214.909,28 ; 2.177.692,88 ; 2.177.692,88 ; 2.177.692,88 ; 4.023.057,83 ; 25.760.970,93 
BA;SANTO ESTEVAO;2928802; 925.649,10 ; 1.018.214,01 ; 1.110.778,92 ; 1.203.343,83 ; 1.415.842,21 ; 1.498.983,48 ; 1.498.983,48 ; 1.598.915,71 ; 1.705.987,49 ; 1.715.347,21 ; 1.715.347,21 ; 1.715.347,21 ; 3.168.923,00 ; 20.291.662,85 
BA;SAO DESIDERIO;2928901; 635.535,33 ; 699.088,86 ; 762.642,40 ; 826.195,93 ; 972.093,80 ; 1.029.177,21 ; 1.029.177,21 ; 1.097.789,02 ; 1.184.009,21 ; 1.179.548,83 ; 1.179.548,83 ; 1.179.548,83 ; 2.179.092,02 ; 13.953.447,50 
BA;SAO DOMINGOS;2928950; 171.546,42 ; 188.701,07 ; 205.855,71 ; 223.010,35 ; 262.391,73 ; 277.799,93 ; 277.799,93 ; 296.319,92 ; 321.717,59 ; 318.693,20 ; 318.693,20 ; 318.693,20 ; 588.752,06 ; 3.769.974,31 
