 ANEXO V ;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de Agosto de 2026;;;;;;;;;;;;;;;;
 Cronograma de Desembolso da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, § 2º da Lei nº 14.113/2020) ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;"Janeiro do
Ano Seguinte";Total
AL;AGUA BRANCA;2700102; 920.911,31 ; 1.013.002,44 ; 1.105.093,57 ; 1.197.184,70 ; 1.292.470,35 ; 1.380.507,35 ; 1.380.507,35 ; 1.472.541,17 ; 1.591.476,13 ; 1.591.474,16 ; 1.591.474,16 ; 1.591.474,16 ; 2.940.080,60 ; 19.068.197,45 
AL;ANADIA;2700201; 779.968,69 ; 857.965,56 ; 935.962,43 ; 1.013.959,30 ; 1.094.749,17 ; 1.169.318,33 ; 1.169.318,33 ; 1.247.272,89 ; 1.252.031,32 ; 1.252.029,77 ; 1.252.029,77 ; 1.252.029,77 ; 2.312.992,89 ; 15.589.628,22 
AL;ARAPIRACA;2700300; 6.132.779,97 ; 6.746.057,96 ; 7.359.335,96 ; 7.972.613,95 ; 8.607.399,85 ; 9.193.695,43 ; 9.193.695,43 ; 9.806.608,46 ; 9.888.247,65 ; 9.888.235,41 ; 9.888.235,41 ; 9.888.235,41 ; 18.267.471,61 ; 122.832.612,50 
AL;ATALAIA;2700409; 1.457.448,34 ; 1.603.193,17 ; 1.748.938,01 ; 1.894.682,84 ; 2.045.442,19 ; 2.184.768,09 ; 2.184.768,09 ; 2.330.419,30 ; 2.381.249,15 ; 2.381.246,20 ; 2.381.246,20 ; 2.381.246,20 ; 4.399.101,11 ; 29.373.748,89 
AL;BARRA DE SANTO ANTONIO;2700508; 561.508,96 ; 617.659,85 ; 673.810,75 ; 729.961,64 ; 788.028,84 ; 841.705,66 ; 841.705,66 ; 897.819,37 ; 906.212,04 ; 906.210,92 ; 906.210,92 ; 906.210,92 ; 1.674.129,01 ; 11.251.174,54 
AL;BARRA DE SAO MIGUEL;2700607; 116.167,34 ; 127.784,08 ; 139.400,81 ; 151.017,55 ; 162.911,17 ; 174.007,91 ; 174.007,91 ; 185.608,44 ; 185.942,22 ; 185.941,99 ; 185.941,99 ; 185.941,99 ; 343.508,23 ; 2.318.181,63 
AL;BATALHA;2700706; 81.769,73 ; 89.946,70 ; 98.123,68 ; 106.300,65 ; 114.508,62 ; 122.308,41 ; 122.308,41 ; 130.462,30 ; 142.980,48 ; 142.980,30 ; 142.980,30 ; 142.980,30 ; 264.141,06 ; 1.701.790,94 
AL;BELEM;2700805; 300.311,55 ; 330.342,71 ; 360.373,86 ; 390.405,02 ; 421.469,90 ; 450.178,44 ; 450.178,44 ; 480.190,34 ; 481.857,13 ; 481.856,53 ; 481.856,53 ; 481.856,53 ; 890.179,12 ; 6.001.056,10 
AL;BELO MONTE;2700904; 590.277,61 ; 649.305,37 ; 708.333,13 ; 767.360,89 ; 828.521,84 ; 884.956,85 ; 884.956,85 ; 943.953,97 ; 949.491,62 ; 949.490,45 ; 949.490,45 ; 949.490,45 ; 1.754.083,39 ; 11.809.712,87 
AL;BOCA DA MATA;2701001; 939.790,47 ; 1.033.769,52 ; 1.127.748,56 ; 1.221.727,61 ; 1.318.972,11 ; 1.408.814,28 ; 1.408.814,28 ; 1.502.735,23 ; 1.508.072,41 ; 1.508.070,55 ; 1.508.070,55 ; 1.508.070,55 ; 2.786.001,19 ; 18.780.657,31 
