Anexo VII;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de agosto de 2026;;;;;;;;;;;;;;;;
Cronograma de Desembolso da Complementação da União-VAAR ao Fundeb no Ano de 2026 (art. 16, § 2º, da Lei nº 14.113/2020);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código 
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Janeiro do ano seguinte;Total
AL;CANAPI;2701605; 206.566,19 ; 227.222,81 ; 247.879,42 ; 268.536,04 ; 288.109,63 ; 309.578,54 ; 309.578,54 ; 330.217,11 ; 337.475,40 ; 338.105,44 ; 338.105,44 ; 338.105,44 ; 624.614,12 ; 4.164.094,12 
AL;CAPELA;2701704; 61.855,44 ; 68.040,98 ; 74.226,52 ; 80.412,07 ; 86.298,52 ; 92.708,41 ; 92.708,41 ; 98.888,97 ; 100.831,49 ; 101.220,31 ; 101.220,31 ; 101.220,31 ; 186.993,84 ; 1.246.625,58 
AL;CHA PRETA;2701902; 22.881,84 ; 25.170,02 ; 27.458,20 ; 29.746,39 ; 31.924,02 ; 34.295,10 ; 34.295,10 ; 36.581,45 ; 37.300,03 ; 37.443,87 ; 37.443,87 ; 37.443,87 ; 69.173,60 ; 461.157,36 
AL;COLONIA LEOPOLDINA;2702108; 133.961,24 ; 147.357,36 ; 160.753,49 ; 174.149,61 ; 186.844,38 ; 200.766,53 ; 200.766,53 ; 214.150,96 ; 218.848,97 ; 219.265,46 ; 219.265,46 ; 219.265,46 ; 405.069,79 ; 2.700.465,24 
AL;COQUEIRO SECO;2702207; 38.979,46 ; 42.877,41 ; 46.775,36 ; 50.673,31 ; 54.367,22 ; 58.418,18 ; 58.418,18 ; 62.312,73 ; 63.679,81 ; 63.800,93 ; 63.800,93 ; 63.800,93 ; 117.865,48 ; 785.769,93 
AL;CORURIPE;2702306; 576.217,55 ; 633.839,30 ; 691.461,06 ; 749.082,81 ; 803.728,56 ; 863.582,33 ; 863.582,33 ; 921.154,49 ; 940.990,77 ; 943.104,29 ; 943.104,29 ; 943.104,29 ; 1.742.285,66 ; 11.615.237,73 
AL;CRAIBAS;2702355; 112.704,76 ; 123.975,23 ; 135.245,71 ; 146.516,18 ; 157.241,80 ; 168.920,93 ; 168.920,93 ; 180.182,33 ; 183.721,69 ; 184.430,20 ; 184.430,20 ; 184.430,20 ; 340.715,33 ; 2.271.435,49 
AL;DOIS RIACHOS;2702504; 112.004,25 ; 123.204,68 ; 134.405,10 ; 145.605,53 ; 156.218,02 ; 167.859,41 ; 167.859,41 ; 179.050,03 ; 182.991,86 ; 183.328,08 ; 183.328,08 ; 183.328,08 ; 338.679,28 ; 2.257.861,81 
AL;ESTRELA DE ALAGOAS;2702553; 116.821,86 ; 128.504,05 ; 140.186,23 ; 151.868,42 ; 162.936,72 ; 175.079,33 ; 175.079,33 ; 186.751,29 ; 190.868,71 ; 191.214,14 ; 191.214,14 ; 191.214,14 ; 353.247,95 ; 2.354.986,31 
AL;FEIRA GRANDE;2702603; 76.783,62 ; 84.461,98 ; 92.140,34 ; 99.818,70 ; 107.125,82 ; 115.082,63 ; 115.082,63 ; 122.754,81 ; 125.166,12 ; 125.648,80 ; 125.648,80 ; 125.648,80 ; 232.122,90 ; 1.547.485,95 
