Anexo VII;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de agosto de 2026;;;;;;;;;;;;;;;;
Cronograma de Desembolso da Complementação da União-VAAR ao Fundeb no Ano de 2026 (art. 16, § 2º, da Lei nº 14.113/2020);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código 
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Janeiro do ano seguinte;Total
MA;MATA ROMA;2106409; 136.059,65 ; 149.665,62 ; 163.271,58 ; 176.877,55 ; 189.767,56 ; 203.910,50 ; 203.910,50 ; 217.504,54 ; 222.308,99 ; 222.703,52 ; 222.703,52 ; 222.703,52 ; 411.421,25 ; 2.742.808,30 
MA;MATINHA;2106508; 72.766,72 ; 80.043,39 ; 87.320,06 ; 94.596,73 ; 101.521,57 ; 109.062,14 ; 109.062,14 ; 116.332,95 ; 118.618,12 ; 119.075,54 ; 119.075,54 ; 119.075,54 ; 219.979,50 ; 1.466.529,94 
MA;MATOES DO NORTE;2106631; 107.042,31 ; 117.746,54 ; 128.450,77 ; 139.155,00 ; 149.296,32 ; 160.422,76 ; 160.422,76 ; 171.117,61 ; 174.893,59 ; 175.207,29 ; 175.207,29 ; 175.207,29 ; 323.676,98 ; 2.157.846,51 
MA;MILAGRES DO MARANHAO;2106672; 86.830,42 ; 95.513,46 ; 104.196,50 ; 112.879,54 ; 121.104,66 ; 130.131,17 ; 130.131,17 ; 138.806,58 ; 141.881,56 ; 142.125,64 ; 142.125,64 ; 142.125,64 ; 262.562,12 ; 1.750.414,10 
MA;MIRADOR;2106706; 119.930,93 ; 131.924,02 ; 143.917,11 ; 155.910,21 ; 167.271,88 ; 179.738,56 ; 179.738,56 ; 191.721,13 ; 195.958,78 ; 196.304,18 ; 196.304,18 ; 196.304,18 ; 362.651,25 ; 2.417.674,97 
MA;MIRANDA DO NORTE;2106755; 121.925,11 ; 134.117,62 ; 146.310,13 ; 158.502,64 ; 170.054,42 ; 182.727,50 ; 182.727,50 ; 194.909,33 ; 199.206,75 ; 199.567,16 ; 199.567,16 ; 199.567,16 ; 368.679,27 ; 2.457.861,75 
MA;MIRINZAL;2106805; 38.662,57 ; 42.528,83 ; 46.395,09 ; 50.261,35 ; 53.940,77 ; 57.947,14 ; 57.947,14 ; 61.810,29 ; 63.024,46 ; 63.267,49 ; 63.267,49 ; 63.267,49 ; 116.880,01 ; 779.200,12 
MA;MONCAO;2106904; 210.485,97 ; 231.534,57 ; 252.583,16 ; 273.631,76 ; 293.575,04 ; 315.452,64 ; 315.452,64 ; 336.482,81 ; 343.894,88 ; 344.522,97 ; 344.522,97 ; 344.522,97 ; 636.469,84 ; 4.243.132,22 
MA;MONTES ALTOS;2107001; 54.210,37 ; 59.631,40 ; 65.052,44 ; 70.473,48 ; 75.609,13 ; 81.244,22 ; 81.244,22 ; 86.660,50 ; 88.575,48 ; 88.732,04 ; 88.732,04 ; 88.732,04 ; 163.923,07 ; 1.092.820,43 
MA;MORROS;2107100; 147.654,87 ; 162.420,36 ; 177.185,84 ; 191.951,33 ; 205.943,20 ; 221.288,92 ; 221.288,92 ; 236.041,51 ; 241.224,63 ; 241.679,45 ; 241.679,45 ; 241.679,45 ; 446.477,29 ; 2.976.515,22 
MA;NINA RODRIGUES;2107209; 100.700,55 ; 110.770,60 ; 120.840,66 ; 130.910,71 ; 140.450,99 ; 150.918,39 ; 150.918,39 ; 160.979,61 ; 164.534,23 ; 164.827,32 ; 164.827,32 ; 164.827,32 ; 304.501,08 ; 2.030.007,17 
MA;NOVA COLINAS;2107258; 18.056,11 ; 19.861,72 ; 21.667,33 ; 23.472,94 ; 25.177,08 ; 27.058,77 ; 27.058,77 ; 28.862,69 ; 29.560,21 ; 29.560,62 ; 29.560,62 ; 29.560,62 ; 54.610,14 ; 364.067,62 
MA;NOVA IORQUE;2107308; 23.246,57 ; 25.571,22 ; 27.895,88 ; 30.220,54 ; 32.423,39 ; 34.839,38 ; 34.839,38 ; 37.162,01 ; 37.978,88 ; 38.049,75 ; 38.049,75 ; 38.049,75 ; 70.292,91 ; 468.619,41 
MA;NOVA OLINDA DO MARANHAO;2107357; 64.562,67 ; 71.018,94 ; 77.475,20 ; 83.931,47 ; 90.075,61 ; 96.765,98 ; 96.765,98 ; 103.217,05 ; 105.244,58 ; 105.650,43 ; 105.650,43 ; 105.650,43 ; 195.178,02 ; 1.301.186,79 
MA;OLHO DAGUA DAS CUNHAS;2107407; 132.326,87 ; 145.559,56 ; 158.792,25 ; 172.024,93 ; 184.562,67 ; 198.316,59 ; 198.316,59 ; 211.537,70 ; 216.197,56 ; 216.592,34 ; 216.592,34 ; 216.592,34 ; 400.131,49 ; 2.667.543,23 
MA;OLINDA NOVA DO MARANHAO;2107456; 86.165,99 ; 94.782,59 ; 103.399,19 ; 112.015,79 ; 120.178,59 ; 129.135,55 ; 129.135,55 ; 137.744,59 ; 140.790,51 ; 141.037,52 ; 141.037,52 ; 141.037,52 ; 260.551,93 ; 1.737.012,84 
MA;PACO DO LUMIAR;2107506; 806.496,79 ; 887.146,47 ; 967.796,14 ; 1.048.445,82 ; 1.112.949,59 ; 1.205.708,71 ; 1.205.708,71 ; 1.286.089,29 ; 1.314.379,07 ; 1.316.814,63 ; 1.316.814,63 ; 1.316.814,63 ; 2.432.676,09 ; 16.217.840,57 
MA;PALMEIRANDIA;2107605; 49.669,58 ; 54.636,54 ; 59.603,50 ; 64.570,46 ; 69.297,24 ; 74.444,35 ; 74.444,35 ; 79.407,31 ; 80.967,15 ; 81.279,36 ; 81.279,36 ; 81.279,36 ; 150.155,04 ; 1.001.033,60 
MA;PARAIBANO;2107704; 54.728,61 ; 60.201,47 ; 65.674,33 ; 71.147,19 ; 76.355,47 ; 82.026,78 ; 82.026,78 ; 87.495,23 ; 89.213,90 ; 89.557,97 ; 89.557,97 ; 89.557,97 ; 165.448,89 ; 1.102.992,56 
MA;PARNARAMA;2107803; 264.236,26 ; 290.659,88 ; 317.083,51 ; 343.507,13 ; 368.549,81 ; 396.009,16 ; 396.009,16 ; 422.409,78 ; 431.654,11 ; 432.495,03 ; 432.495,03 ; 432.495,03 ; 798.988,93 ; 5.326.592,82 
MA;PASTOS BONS;2108009; 175.337,21 ; 192.870,93 ; 210.404,65 ; 227.938,37 ; 244.551,30 ; 262.775,63 ; 262.775,63 ; 280.294,00 ; 286.468,50 ; 286.991,57 ; 286.991,57 ; 286.991,57 ; 530.186,64 ; 3.534.577,57 
MA;PAULINO NEVES;2108058; 152.692,97 ; 167.962,27 ; 183.231,57 ; 198.500,87 ; 212.966,14 ; 228.838,48 ; 228.838,48 ; 244.094,38 ; 249.490,80 ; 249.929,55 ; 249.929,55 ; 249.929,55 ; 461.718,47 ; 3.078.123,08 
MA;PAULO RAMOS;2108108; 154.033,65 ; 169.437,02 ; 184.840,38 ; 200.243,75 ; 214.836,88 ; 230.847,94 ; 230.847,94 ; 246.237,80 ; 251.674,09 ; 252.123,20 ; 252.123,20 ; 252.123,20 ; 465.771,02 ; 3.105.140,07 
MA;PEDREIRAS;2108207; 175.047,45 ; 192.552,20 ; 210.056,94 ; 227.561,69 ; 244.148,26 ; 262.341,64 ; 262.341,64 ; 279.831,08 ; 285.985,80 ; 286.516,31 ; 286.516,31 ; 286.516,31 ; 529.308,65 ; 3.528.724,28 
MA;PEDRO DO ROSARIO;2108256; 218.375,25 ; 240.212,77 ; 262.050,30 ; 283.887,82 ; 304.575,16 ; 327.275,34 ; 327.275,34 ; 349.093,69 ; 356.814,86 ; 357.439,38 ; 357.439,38 ; 357.439,38 ; 660.331,54 ; 4.402.210,21 
MA;PENALVA;2108306; 246.848,34 ; 271.533,17 ; 296.218,00 ; 320.902,84 ; 344.290,45 ; 369.948,21 ; 369.948,21 ; 394.611,43 ; 403.312,64 ; 404.041,71 ; 404.041,71 ; 404.041,71 ; 746.424,43 ; 4.976.162,85 
MA;PERI MIRIM;2108405; 31.591,07 ; 34.750,18 ; 37.909,29 ; 41.068,39 ; 44.074,84 ; 47.348,43 ; 47.348,43 ; 50.505,00 ; 51.497,11 ; 51.695,67 ; 51.695,67 ; 51.695,67 ; 95.502,30 ; 636.682,05 
MA;PERITORO;2108454; 188.495,26 ; 207.344,78 ; 226.194,31 ; 245.043,83 ; 262.903,16 ; 282.495,35 ; 282.495,35 ; 301.328,37 ; 307.969,18 ; 308.528,94 ; 308.528,94 ; 308.528,94 ; 569.974,67 ; 3.799.831,08 
MA;PINDARE MIRIM;2108504; 266.095,67 ; 292.705,23 ; 319.314,80 ; 345.924,37 ; 371.134,31 ; 398.793,60 ; 398.793,60 ; 425.379,84 ; 434.771,23 ; 435.547,00 ; 435.547,00 ; 435.547,00 ; 804.627,12 ; 5.364.180,77 
MA;PIO XII;2108702; 187.076,97 ; 205.784,67 ; 224.492,36 ; 243.200,06 ; 260.928,14 ; 280.370,56 ; 280.370,56 ; 299.061,93 ; 305.624,24 ; 306.204,52 ; 306.204,52 ; 306.204,52 ; 565.680,55 ; 3.771.203,60 
MA;POCAO DE PEDRAS;2108900; 113.008,25 ; 124.309,07 ; 135.609,90 ; 146.910,72 ; 157.620,36 ; 169.364,59 ; 169.364,59 ; 180.655,56 ; 184.614,13 ; 184.969,47 ; 184.969,47 ; 184.969,47 ; 341.711,58 ; 2.278.077,16 
MA;PORTO FRANCO;2109007; 202.495,06 ; 222.744,57 ; 242.994,08 ; 263.243,58 ; 282.433,95 ; 303.477,82 ; 303.477,82 ; 323.709,67 ; 330.801,91 ; 331.439,48 ; 331.439,48 ; 331.439,48 ; 612.299,46 ; 4.081.996,36 
MA;PORTO RICO DO MARANHAO;2109056; 39.652,63 ; 43.617,89 ; 47.583,16 ; 51.548,42 ; 55.305,34 ; 59.426,86 ; 59.426,86 ; 63.388,65 ; 64.786,43 ; 64.903,49 ; 64.903,49 ; 64.903,49 ; 119.902,35 ; 799.349,06 
MA;PRESIDENTE DUTRA;2109106; 243.474,70 ; 267.822,17 ; 292.169,64 ; 316.517,11 ; 339.586,91 ; 364.892,64 ; 364.892,64 ; 389.218,82 ; 397.784,60 ; 398.518,02 ; 398.518,02 ; 398.518,02 ; 736.220,00 ; 4.908.133,29 
MA;PRESIDENTE JUSCELINO;2109205; 43.994,81 ; 48.394,29 ; 52.793,77 ; 57.193,25 ; 61.345,25 ; 65.930,34 ; 65.930,34 ; 70.325,69 ; 72.025,22 ; 72.026,25 ; 72.026,25 ; 72.026,25 ; 133.060,90 ; 887.072,61 
MA;PRESIDENTE MEDICI;2109239; 46.707,05 ; 51.377,76 ; 56.048,46 ; 60.719,17 ; 65.144,02 ; 69.999,13 ; 69.999,13 ; 74.665,73 ; 76.315,46 ; 76.450,52 ; 76.450,52 ; 76.450,52 ; 141.234,26 ; 941.561,73 
MA;PRESIDENTE SARNEY;2109270; 77.081,60 ; 84.789,75 ; 92.497,91 ; 100.206,07 ; 107.541,59 ; 115.529,24 ; 115.529,24 ; 123.231,19 ; 125.651,83 ; 126.136,42 ; 126.136,42 ; 126.136,42 ; 233.023,72 ; 1.553.491,40 
MA;PRESIDENTE VARGAS;2109304; 96.576,98 ; 106.234,68 ; 115.892,38 ; 125.550,08 ; 134.699,92 ; 144.738,53 ; 144.738,53 ; 154.387,76 ; 157.794,66 ; 158.077,62 ; 158.077,62 ; 158.077,62 ; 292.031,72 ; 1.946.878,10 
MA;PRIMEIRA CRUZ;2109403; 102.932,64 ; 113.225,91 ; 123.519,17 ; 133.812,44 ; 143.564,08 ; 154.263,58 ; 154.263,58 ; 164.547,82 ; 168.182,04 ; 168.480,91 ; 168.480,91 ; 168.480,91 ; 311.250,71 ; 2.075.004,70 
MA;RAPOSA;2109452; 196.765,80 ; 216.442,38 ; 236.118,95 ; 255.795,53 ; 274.438,06 ; 294.890,19 ; 294.890,19 ; 314.549,54 ; 321.485,54 ; 322.066,55 ; 322.066,55 ; 322.066,55 ; 594.983,98 ; 3.966.559,81 
MA;RIACHAO;2109502; 129.293,32 ; 142.222,65 ; 155.151,98 ; 168.081,31 ; 180.330,17 ; 193.769,87 ; 193.769,87 ; 206.687,87 ; 211.254,16 ; 211.628,40 ; 211.628,40 ; 211.628,40 ; 390.961,14 ; 2.606.407,54 
MA;RIBAMAR FIQUENE;2109551; 49.867,54 ; 54.854,29 ; 59.841,05 ; 64.827,80 ; 69.552,87 ; 74.735,91 ; 74.735,91 ; 79.718,30 ; 81.471,98 ; 81.622,83 ; 81.622,83 ; 81.622,83 ; 150.789,56 ; 1.005.263,70 
MA;SAMBAIBA;2109700; 33.803,04 ; 37.183,35 ; 40.563,65 ; 43.943,96 ; 47.146,89 ; 50.660,20 ; 50.660,20 ; 54.037,55 ; 55.227,51 ; 55.328,71 ; 55.328,71 ; 55.328,71 ; 102.213,96 ; 681.426,44 
MA;SANTA HELENA;2109809; 325.383,80 ; 357.922,17 ; 390.460,55 ; 422.998,93 ; 453.830,38 ; 487.648,98 ; 487.648,98 ; 520.158,91 ; 531.601,11 ; 532.585,82 ; 532.585,82 ; 532.585,82 ; 983.896,11 ; 6.559.307,38 
MA;SANTA INES;2109908; 501.586,25 ; 551.744,88 ; 601.903,50 ; 652.062,13 ; 699.585,84 ; 751.720,66 ; 751.720,66 ; 801.835,37 ; 819.507,70 ; 820.996,26 ; 820.996,26 ; 820.996,26 ; 1.516.703,96 ; 10.111.359,73 
MA;SANTA LUZIA;2110005; 458.165,86 ; 503.982,44 ; 549.799,03 ; 595.615,62 ; 639.025,88 ; 686.647,23 ; 686.647,23 ; 732.423,71 ; 748.561,28 ; 749.925,25 ; 749.925,25 ; 749.925,25 ; 1.385.407,77 ; 9.236.051,80 
MA;SANTA LUZIA DO PARUA;2110039; 152.248,78 ; 167.473,66 ; 182.698,54 ; 197.923,42 ; 212.347,57 ; 228.173,00 ; 228.173,00 ; 243.384,54 ; 248.756,92 ; 249.201,62 ; 249.201,62 ; 249.201,62 ; 460.373,70 ; 3.069.157,99 
MA;SANTA QUITERIA DO MARANHAO;2110104; 247.018,21 ; 271.720,03 ; 296.421,85 ; 321.123,67 ; 344.525,23 ; 370.202,26 ; 370.202,26 ; 394.882,41 ; 403.609,46 ; 404.321,83 ; 404.321,83 ; 404.321,83 ; 746.941,93 ; 4.979.612,80 
MA;SANTANA DO MARANHAO;2110237; 65.336,90 ; 71.870,58 ; 78.404,27 ; 84.937,96 ; 91.128,84 ; 97.919,65 ; 97.919,65 ; 104.447,63 ; 106.745,37 ; 106.942,97 ; 106.942,97 ; 106.942,97 ; 197.565,84 ; 1.317.105,60 
MA;SANTO AMARO DO MARANHAO;2110278; 89.860,97 ; 98.847,07 ; 107.833,17 ; 116.819,26 ; 125.332,56 ; 134.673,28 ; 134.673,28 ; 143.651,50 ; 146.823,74 ; 147.085,06 ; 147.085,06 ; 147.085,06 ; 271.724,13 ; 1.811.494,14 
MA;SANTO ANTONIO DOS LOPES;2110302; 107.977,19 ; 118.774,91 ; 129.572,62 ; 140.370,34 ; 150.601,89 ; 161.824,26 ; 161.824,26 ; 172.612,54 ; 176.406,65 ; 176.735,96 ; 176.735,96 ; 176.735,96 ; 326.501,04 ; 2.176.673,58 
MA;SAO BENEDITO DO RIO PRETO;2110401; 165.497,71 ; 182.047,48 ; 198.597,25 ; 215.147,02 ; 230.825,26 ; 248.028,69 ; 248.028,69 ; 264.563,94 ; 270.414,14 ; 270.888,61 ; 270.888,61 ; 270.888,61 ; 500.438,12 ; 3.336.254,13 
MA;SAO BENTO;2110500; 243.306,29 ; 267.636,92 ; 291.967,55 ; 316.298,17 ; 339.348,47 ; 364.639,37 ; 364.639,37 ; 388.948,66 ; 397.540,67 ; 398.245,72 ; 398.245,72 ; 398.245,72 ; 735.716,94 ; 4.904.779,57 
MA;SAO BERNARDO;2110609; 124.480,81 ; 136.928,89 ; 149.376,97 ; 161.825,05 ; 173.671,34 ; 186.570,79 ; 186.570,79 ; 199.008,84 ; 202.918,04 ; 203.700,55 ; 203.700,55 ; 203.700,55 ; 376.315,27 ; 2.508.768,44 
MA;SAO DOMINGOS DO AZEITAO;2110658; 52.874,47 ; 58.161,92 ; 63.449,36 ; 68.736,81 ; 73.746,41 ; 79.242,25 ; 79.242,25 ; 84.525,07 ; 86.388,43 ; 86.544,97 ; 86.544,97 ; 86.544,97 ; 159.882,69 ; 1.065.884,57 
MA;SAO DOMINGOS DO MARANHAO;2110708; 225.949,52 ; 248.544,47 ; 271.139,42 ; 293.734,38 ; 315.141,31 ; 338.627,29 ; 338.627,29 ; 361.202,45 ; 369.172,60 ; 369.835,08 ; 369.835,08 ; 369.835,08 ; 683.231,30 ; 4.554.875,27 
MA;SAO FELIX DE BALSAS;2110807; 10.997,37 ; 12.097,11 ; 13.196,85 ; 14.296,58 ; 15.343,23 ; 16.482,77 ; 16.482,77 ; 17.581,62 ; 17.926,98 ; 17.996,11 ; 17.996,11 ; 17.996,11 ; 33.245,93 ; 221.639,54 
MA;SAO FRANCISCO DO MARANHAO;2110906; 80.595,03 ; 88.654,54 ; 96.714,04 ; 104.773,54 ; 112.409,29 ; 120.786,62 ; 120.786,62 ; 128.839,06 ; 131.681,67 ; 131.918,25 ; 131.918,25 ; 131.918,25 ; 243.705,04 ; 1.624.700,20 
MA;SAO JOAO DO CARU;2111029; 98.384,86 ; 108.223,34 ; 118.061,83 ; 127.900,31 ; 137.222,12 ; 147.448,13 ; 147.448,13 ; 157.278,01 ; 160.742,28 ; 161.036,09 ; 161.036,09 ; 161.036,09 ; 297.497,17 ; 1.983.314,45 
MA;SAO JOAO DO PARAISO;2111052; 76.524,99 ; 84.177,49 ; 91.829,99 ; 99.482,48 ; 106.732,62 ; 114.686,91 ; 114.686,91 ; 122.332,70 ; 125.031,60 ; 125.256,36 ; 125.256,36 ; 125.256,36 ; 231.397,91 ; 1.542.652,68 
MA;SAO JOAO DO SOTER;2111078; 141.632,88 ; 155.796,17 ; 169.959,45 ; 184.122,74 ; 190.762,58 ; 210.568,46 ; 210.568,46 ; 224.606,36 ; 229.575,19 ; 229.976,10 ; 229.976,10 ; 229.976,10 ; 424.856,58 ; 2.832.377,17 
MA;SAO JOAO DOS PATOS;2111102; 154.025,06 ; 169.427,57 ; 184.830,07 ; 200.232,58 ; 214.827,44 ; 230.835,69 ; 230.835,69 ; 246.224,73 ; 251.637,70 ; 252.106,75 ; 252.106,75 ; 252.106,75 ; 465.740,62 ; 3.104.937,40 
MA;SAO JOSE DOS BASILIOS;2111250; 43.309,51 ; 47.640,47 ; 51.971,43 ; 56.302,37 ; 60.406,17 ; 64.907,48 ; 64.907,48 ; 69.234,65 ; 70.757,44 ; 70.888,67 ; 70.888,67 ; 70.888,67 ; 130.959,36 ; 873.062,37 
MA;SAO LUIS GONZAGA DO MARANHAO;2111409; 70.774,59 ; 77.852,05 ; 84.929,51 ; 92.006,97 ; 98.742,27 ; 106.076,36 ; 106.076,36 ; 113.148,12 ; 115.370,73 ; 115.815,63 ; 115.815,63 ; 115.815,63 ; 213.957,15 ; 1.426.381,00 
MA;SAO MATEUS DO MARANHAO;2111508; 264.247,66 ; 290.672,43 ; 317.097,19 ; 343.521,96 ; 368.559,14 ; 396.024,60 ; 396.024,60 ; 422.426,24 ; 431.731,16 ; 432.519,95 ; 432.519,95 ; 432.519,95 ; 799.034,97 ; 5.326.899,80 
MA;SAO PEDRO DA AGUA BRANCA;2111532; 37.342,33 ; 41.076,56 ; 44.810,80 ; 48.545,03 ; 52.098,83 ; 55.968,37 ; 55.968,37 ; 59.699,59 ; 60.872,26 ; 61.107,04 ; 61.107,04 ; 61.107,04 ; 112.888,81 ; 752.592,07 
MA;SAO PEDRO DOS CRENTES;2111573; 33.447,11 ; 36.791,82 ; 40.136,53 ; 43.481,24 ; 46.650,28 ; 50.126,74 ; 50.126,74 ; 53.468,52 ; 54.647,05 ; 54.746,23 ; 54.746,23 ; 54.746,23 ; 101.137,89 ; 674.252,61 
MA;SAO ROBERTO;2111672; 37.701,44 ; 41.471,59 ; 45.241,73 ; 49.011,87 ; 52.583,61 ; 56.502,54 ; 56.502,54 ; 60.269,37 ; 61.601,81 ; 61.710,14 ; 61.710,14 ; 61.710,14 ; 114.002,98 ; 760.019,90 
MA;SAO VICENTE FERRER;2111706; 115.827,51 ; 127.410,26 ; 138.993,01 ; 150.575,76 ; 161.548,99 ; 173.588,89 ; 173.588,89 ; 185.161,48 ; 189.251,54 ; 189.587,38 ; 189.587,38 ; 189.587,38 ; 350.242,68 ; 2.334.951,15 
MA;SATUBINHA;2111722; 91.942,21 ; 101.136,43 ; 110.330,65 ; 119.524,88 ; 128.235,95 ; 137.792,54 ; 137.792,54 ; 146.978,71 ; 150.219,19 ; 150.491,11 ; 150.491,11 ; 150.491,11 ; 278.016,44 ; 1.853.442,87 
MA;SENADOR ALEXANDRE COSTA;2111748; 77.133,47 ; 84.846,81 ; 92.560,16 ; 100.273,50 ; 107.581,06 ; 115.598,76 ; 115.598,76 ; 123.305,35 ; 126.027,86 ; 126.252,54 ; 126.252,54 ; 126.252,54 ; 233.238,25 ; 1.554.921,60 
MA;SENADOR LA ROCQUE;2111763; 44.734,85 ; 49.208,33 ; 53.681,82 ; 58.155,30 ; 62.412,49 ; 67.048,21 ; 67.048,21 ; 71.518,09 ; 72.922,93 ; 73.204,16 ; 73.204,16 ; 73.204,16 ; 135.236,95 ; 901.579,66 
MA;SERRANO DO MARANHAO;2111789; 58.242,98 ; 64.067,28 ; 69.891,57 ; 75.715,87 ; 81.258,57 ; 87.294,08 ; 87.294,08 ; 93.113,69 ; 94.942,74 ; 95.308,88 ; 95.308,88 ; 95.308,88 ; 176.073,10 ; 1.173.820,60 
MA;TASSO FRAGOSO;2112001; 70.841,13 ; 77.925,24 ; 85.009,35 ; 92.093,47 ; 98.805,39 ; 106.168,66 ; 106.168,66 ; 113.246,57 ; 115.742,47 ; 115.952,74 ; 115.952,74 ; 115.952,74 ; 214.210,45 ; 1.428.069,61 
MA;TIMBIRAS;2112100; 183.176,08 ; 201.493,68 ; 219.811,29 ; 238.128,90 ; 255.484,27 ; 274.523,56 ; 274.523,56 ; 292.825,13 ; 299.278,57 ; 299.822,52 ; 299.822,52 ; 299.822,52 ; 553.890,46 ; 3.692.603,06 
MA;TIMON;2112209; 1.152.400,05 ; 1.267.640,05 ; 1.382.880,05 ; 1.498.120,06 ; 1.607.339,32 ; 1.727.094,90 ; 1.727.094,90 ; 1.842.234,55 ; 1.882.535,91 ; 1.886.216,79 ; 1.886.216,79 ; 1.886.216,79 ; 3.484.586,51 ; 23.230.576,67 
MA;TRIZIDELA DO VALE;2112233; 156.994,11 ; 172.693,52 ; 188.392,93 ; 204.092,34 ; 218.968,51 ; 235.285,38 ; 235.285,38 ; 250.971,07 ; 256.488,06 ; 256.966,41 ; 256.966,41 ; 256.966,41 ; 474.718,33 ; 3.164.788,86 
MA;TUFILANDIA;2112274; 43.671,78 ; 48.038,97 ; 52.406,15 ; 56.773,32 ; 60.910,59 ; 65.450,21 ; 65.450,21 ; 69.813,54 ; 71.356,74 ; 71.482,44 ; 71.482,44 ; 71.482,44 ; 132.056,27 ; 880.375,10 
MA;TUNTUM;2112308; 230.804,10 ; 253.884,51 ; 276.964,92 ; 300.045,33 ; 321.912,44 ; 345.902,85 ; 345.902,85 ; 368.963,04 ; 377.102,21 ; 377.780,85 ; 377.780,85 ; 377.780,85 ; 697.910,27 ; 4.652.735,07 
MA;TURILANDIA;2112456; 239.383,86 ; 263.322,24 ; 287.260,63 ; 311.199,01 ; 319.169,16 ; 355.083,74 ; 355.083,74 ; 378.755,99 ; 387.149,20 ; 387.812,94 ; 387.812,94 ; 387.812,94 ; 716.443,48 ; 4.776.289,87 
MA;TUTOIA;2112506; 396.607,26 ; 436.267,99 ; 475.928,71 ; 515.589,44 ; 553.164,58 ; 594.389,51 ; 594.389,51 ; 634.015,48 ; 648.008,25 ; 649.168,66 ; 649.168,66 ; 649.168,66 ; 1.199.270,60 ; 7.995.137,31 
MA;URBANO SANTOS;2112605; 266.735,03 ; 293.408,53 ; 320.082,03 ; 346.755,54 ; 372.025,57 ; 399.751,68 ; 399.751,68 ; 426.401,79 ; 435.820,18 ; 436.593,97 ; 436.593,97 ; 436.593,97 ; 806.561,29 ; 5.377.075,23 
MA;VARGEM GRANDE;2112704; 533.464,89 ; 586.811,38 ; 640.157,87 ; 693.504,36 ; 744.068,88 ; 799.501,86 ; 799.501,86 ; 852.801,98 ; 871.410,93 ; 873.155,78 ; 873.155,78 ; 873.155,78 ; 1.613.063,18 ; 10.753.754,53 
MA;VIANA;2112803; 359.841,66 ; 395.825,82 ; 431.809,99 ; 467.794,15 ; 501.886,28 ; 539.289,50 ; 539.289,50 ; 575.242,13 ; 587.935,58 ; 588.990,31 ; 588.990,31 ; 588.990,31 ; 1.088.097,45 ; 7.253.982,99 
MA;VITORIA DO MEARIM;2112902; 173.378,47 ; 190.716,31 ; 208.054,16 ; 225.392,01 ; 241.818,53 ; 259.839,89 ; 259.839,89 ; 277.162,55 ; 283.275,53 ; 283.786,28 ; 283.786,28 ; 283.786,28 ; 524.265,21 ; 3.495.101,39 
MA;VITORINO FREIRE;2113009; 196.803,04 ; 216.483,34 ; 236.163,64 ; 255.843,95 ; 274.491,19 ; 294.946,31 ; 294.946,31 ; 314.609,40 ; 321.535,59 ; 322.126,35 ; 322.126,35 ; 322.126,35 ; 595.094,44 ; 3.967.296,26 
MA;ZE DOCA;2114007; 220.512,07 ; 242.563,28 ; 264.614,48 ; 286.665,69 ; 307.650,89 ; 330.501,63 ; 330.501,63 ; 352.535,07 ; 359.460,02 ; 360.846,22 ; 360.846,22 ; 360.846,22 ; 666.625,32 ; 4.444.168,74 
MG;AIMORES;3101102; 37.351,14 ; 41.086,25 ; 44.821,37 ; 48.556,48 ; 52.081,55 ; 55.974,19 ; 55.974,19 ; 59.705,80 ; 61.148,71 ; 61.149,55 ; 61.149,55 ; 61.149,55 ; 112.967,35 ; 753.115,68 
MG;AIURUOCA;3101201; 7.176,51 ; 7.894,16 ; 8.611,81 ; 9.329,46 ; 11.394,51 ; 11.101,59 ; 11.101,59 ; 11.841,70 ; 12.127,86 ; 12.128,05 ; 12.128,05 ; 12.128,05 ; 22.405,29 ; 149.368,63 
MG;ALBERTINA;3101409; 9.065,35 ; 9.971,89 ; 10.878,43 ; 11.784,96 ; 12.640,58 ; 13.585,28 ; 13.585,28 ; 14.490,97 ; 14.841,17 ; 14.841,38 ; 14.841,38 ; 14.841,38 ; 27.417,88 ; 182.785,93 
MG;ALFREDO VASCONCELOS;3101631; 10.614,38 ; 11.675,82 ; 12.737,26 ; 13.798,70 ; 14.800,48 ; 15.906,65 ; 15.906,65 ; 16.967,09 ; 17.377,14 ; 17.377,37 ; 17.377,37 ; 17.377,37 ; 32.102,87 ; 214.019,15 
MG;ALMENARA;3101706; 146.671,88 ; 161.339,07 ; 176.006,25 ; 190.673,44 ; 204.570,25 ; 219.815,23 ; 219.815,23 ; 234.469,58 ; 239.635,93 ; 240.072,35 ; 240.072,35 ; 240.072,35 ; 443.508,34 ; 2.956.722,25 
MG;ALTEROSA;3102001; 25.643,08 ; 28.207,39 ; 30.771,70 ; 33.336,00 ; 36.822,12 ; 38.695,05 ; 38.695,05 ; 41.274,72 ; 42.272,20 ; 42.272,79 ; 42.272,79 ; 42.272,79 ; 78.094,53 ; 520.630,21 
MG;ALTO RIO DOCE;3102100; 14.203,72 ; 15.624,09 ; 17.044,46 ; 18.464,84 ; 19.805,35 ; 21.285,61 ; 21.285,61 ; 22.704,65 ; 23.253,36 ; 23.253,67 ; 23.253,67 ; 23.253,67 ; 42.958,71 ; 286.391,41 
