ESCOLAS PÚBLICAS E CONVENIADAS QUE OFERECEM ATENDIMENTO EDUCACIONAL ESPECIALIZADO E MATRÍCULAS CONSIDERADAS NO FUNDEB 2026;;;;;;;;
UF;Município;Dependência Administrativa;Código Entidade no INEP;Entidade;Segmento;Alunos Contemplados;Categoria;Conveniada
AC;BUJARI;MUNICIPAL;12009466;ESC JOSE CESARIO DE FARIAS;AEE - INFANTIL; 3 ;;
AC;BUJARI;MUNICIPAL;12033618;ESC P A ANTONIO DE HOLANDA;AEE - FUNDAMENTAL; 14 ;;
AC;BUJARI;ESTADUAL;12009555;ESC PEDRO GOMES DE LIMA;AEE - FUNDAMENTAL; 9 ;;
AC;BUJARI;ESTADUAL;12009555;ESC PEDRO GOMES DE LIMA;AEE - MÉDIO; 1 ;;
AC;BUJARI;ESTADUAL;12009369;ESC SAO JOAO BATISTA;AEE - FUNDAMENTAL; 69 ;;
AC;BUJARI;ESTADUAL;12009369;ESC SAO JOAO BATISTA;AEE - MÉDIO; 19 ;;
AC;CAPIXABA;ESTADUAL;12009725;ESC ARGENTINA PEREIRA FEITOSA;AEE - FUNDAMENTAL; 25 ;;
AC;CAPIXABA;ESTADUAL;12009725;ESC ARGENTINA PEREIRA FEITOSA;AEE - MÉDIO; 22 ;;
AC;CAPIXABA;ESTADUAL;12030899;ESC ARISTON FERREIRA DA CUNHA;AEE - FUNDAMENTAL; 9 ;;
AC;CAPIXABA;ESTADUAL;12030899;ESC ARISTON FERREIRA DA CUNHA;AEE - MÉDIO; 3 ;;
AC;CAPIXABA;MUNICIPAL;12026131;ESC JOSE SILVEIRA DA COSTA;AEE - FUNDAMENTAL; 13 ;;
AC;CAPIXABA;MUNICIPAL;12026131;ESC JOSE SILVEIRA DA COSTA;AEE - INFANTIL; 5 ;;
AC;CAPIXABA;MUNICIPAL;12021725;ESC MUNDO ENCANTADO;AEE - INFANTIL; 30 ;;
AC;CAPIXABA;MUNICIPAL;12009881;ESC NAIR SOMBRA;AEE - FUNDAMENTAL; 44 ;;
AC;CAPIXABA;ESTADUAL;12023396;ESC NOVA ESPERANCA;AEE - DIFERENTES ETAPAS; 1 ;;
AC;CAPIXABA;ESTADUAL;12023396;ESC NOVA ESPERANCA;AEE - FUNDAMENTAL; 11 ;;
AC;CAPIXABA;ESTADUAL;12023396;ESC NOVA ESPERANCA;AEE - MÉDIO; 4 ;;
AC;CAPIXABA;MUNICIPAL;12042226;ESC PROFª NOELIA MARIA ALVES DE SOUZA;AEE - FUNDAMENTAL; 26 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12033537;COLEGIO MILITAR ESTADUAL DOM PEDRO II - CZS;AEE - FUNDAMENTAL; 18 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12033537;COLEGIO MILITAR ESTADUAL DOM PEDRO II - CZS;AEE - MÉDIO; 11 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12034924;CRECHE AMBROZINA DE NEGREIROS LIMA VERDE;AEE - INFANTIL; 18 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000167;ESC ABSOLON MOREIRA;AEE - FUNDAMENTAL; 21 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000248;ESC ANTONIO FERREIRA GOMES;AEE - FUNDAMENTAL; 76 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12021920;ESC ARTHUR MAIA DE CARVALHO;AEE - FUNDAMENTAL; 30 ;;
AC;CRUZEIRO DO SUL;PARTICULAR;12021466;ESC ASSOCIACAO DE PAIS E AMIGOS EXCEPCIONAIS APAE;AEE - FUNDAMENTAL; 134 ; Filantrópica ; Estadual 
AC;CRUZEIRO DO SUL;PARTICULAR;12021466;ESC ASSOCIACAO DE PAIS E AMIGOS EXCEPCIONAIS APAE;AEE - INFANTIL; 66 ; Filantrópica ; Estadual 
AC;CRUZEIRO DO SUL;PARTICULAR;12021466;ESC ASSOCIACAO DE PAIS E AMIGOS EXCEPCIONAIS APAE;AEE - MÉDIO; 15 ; Filantrópica ; Estadual 
AC;CRUZEIRO DO SUL;ESTADUAL;12000280;ESC AUGUSTO SEVERO;AEE - FUNDAMENTAL; 8 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12000299;ESC BARROSO FILHO;AEE - FUNDAMENTAL; 22 ;;
AC;CRUZEIRO DO SUL;MUNICIPAL;12001252;ESC BEIJA FLOR;AEE - INFANTIL; 23 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000914;ESC CIVICO-MILITAR MADRE ADELGUNDES BECKER;AEE - FUNDAMENTAL; 21 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000914;ESC CIVICO-MILITAR MADRE ADELGUNDES BECKER;AEE - MÉDIO; 11 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000094;ESC COLEGIO CRISTAO CRUZEIRO;AEE - FUNDAMENTAL; 68 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000442;ESC COMANDANTE BRAZ DE AGUIAR;AEE - FUNDAMENTAL; 15 ;;
AC;CRUZEIRO DO SUL;ESTADUAL;12000442;ESC COMANDANTE BRAZ DE AGUIAR;AEE - MÉDIO; 9 ;;
