;;;;;;;;
ESCOLAS DE EDUCAÇÃO PROFISSIONAL E MATRÍCULAS CONSIDERADAS NO FUNDEB 2026;;;;;;;;
UF;Município;Código da Escola no INEP;CNPJ;Entidade;Segmento;Categoria;Conveniada; Número de Alunos 
AC;MANCIO LIMA;12001945;;ESC ANTONIO OLIVEIRA DANTAS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;62,00
AC;MANCIO LIMA;12033421;;ESC MARIA FIRMINO CHAVES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;2,00
AC;MANOEL URBANO;12006920;;ESC NAZIRA ANUTE DE LIMA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;3,00
AC;MANOEL URBANO;12006920;;ESC NAZIRA ANUTE DE LIMA;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;33,00
AC;MARECHAL THAUMATURGO;12026328;;ESC ELVIRA FERREIRA GOMES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;440,00
AC;MARECHAL THAUMATURGO;12033189;;ESC GERALDO PINTO CORREIA FILHO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;PLACIDO DE CASTRO;12010189;;ESC FRANKLIN ROOSEVELT;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;35,00
AC;PLACIDO DE CASTRO;12023779;;ESC JOAO RICARDO DE FREITAS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;329,00
AC;PLACIDO DE CASTRO;12031453;;ESC CENTRO DE EDUCACAO PROFISSIONAL E TECNOLOGICO JOAO DE DE;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;1,00
AC;PORTO ACRE;12015326;;ESC CEL JOSE PLACIDO DE CASTRO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;80,00
AC;PORTO ACRE;12015334;;ESC EDMUNDO PINTO DE ALMEIDA NETO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;36,00
AC;PORTO ACRE;12015334;;ESC EDMUNDO PINTO DE ALMEIDA NETO;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;43,00
AC;PORTO ACRE;12015342;;ESC JADER SARAIVA MACHADO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;61,00
AC;PORTO WALTER;12003050;;ESC BORGES DE AQUINO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;371,00
AC;RIO BRANCO;12011142;;ESC ANTONIA FERNANDES DE FREITAS;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;104,00
AC;RIO BRANCO;12011428;;ESC COLEGIO ACREANO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;RIO BRANCO;12011444;;ESC COLEGIO ESTADUAL BARAO DO RIO BRANCO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;40,00
AC;RIO BRANCO;12011517;;ESC DR JOAO BATISTA AGUIAR;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;RIO BRANCO;12011517;;ESC DR JOAO BATISTA AGUIAR;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;34,00
AC;RIO BRANCO;12012130;;ESC ZULEIDE PEREIRA DE SOUZA;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;125,00
AC;RIO BRANCO;12012181;;ESC PROF JOSE RODRIGUES LEITE;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;2,00
AC;RIO BRANCO;12012556;;ESC PROF HELOISA MOURAO MARQUES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;321,00
AC;RIO BRANCO;12012564;;ESC HENRIQUE LIMA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;3,00
AC;RIO BRANCO;12012564;;ESC HENRIQUE LIMA;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;26,00
AC;RIO BRANCO;12012750;;ESC LEONCIO DE CARVALHO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;157,00
AC;RIO BRANCO;12013242;;ESC PADRE CARLOS CASAVECCHIA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;2,00
AC;RIO BRANCO;12013242;;ESC PADRE CARLOS CASAVECCHIA;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;35,00
AC;RIO BRANCO;12013374;;ESC PROF BERTA VIEIRA DE ANDRADE;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;45,00
AC;RIO BRANCO;12013404;;ESC ELOZIRA DOS SANTOS THOME;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;34,00
AC;RIO BRANCO;12013471;;ESC RAIMUNDO GOMES DE OLIVEIRA;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;30,00
AC;RIO BRANCO;12013510;;ESC PROF DALVA DE SOUZA DAS NEVES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;RIO BRANCO;12013595;;ESC SAO PEDRO I;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;61,00
AC;RIO BRANCO;12013633;;ESC SANTA MARIA II;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;RIO BRANCO;12013633;;ESC SANTA MARIA II;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;42,00
AC;RIO BRANCO;12013889;;ESC SERAFIM DA SILVA SALGADO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;RIO BRANCO;12013889;;ESC SERAFIM DA SILVA SALGADO;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;115,00
AC;RIO BRANCO;12014052;;ESC TANCREDO DE ALMEIDA NEVES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;130,00
AC;RIO BRANCO;12014060;;ESC THEODOLINA FALCAO MACEDO;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;23,00
AC;RIO BRANCO;12014060;;ESC THEODOLINA FALCAO MACEDO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;RIO BRANCO;12021601;;ESC AYRTON SENNA DA SILVA;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;21,00
AC;RIO BRANCO;12021717;;ESC DJALMA TELES GALDINO;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;15,00
AC;RIO BRANCO;12026697;;ESC CENTRO DE EDUCACAO DE JOVENS E ADULTOS;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;51,00
AC;RIO BRANCO;12026697;;ESC CENTRO DE EDUCACAO DE JOVENS E ADULTOS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;3,00
AC;RIO BRANCO;12027340;;ESC LOURIVAL PINHO;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;60,00
AC;RIO BRANCO;12027359;;ESC PAULO FREIRE;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;4,00
AC;RIO BRANCO;12027359;;ESC PAULO FREIRE;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;205,00
AC;RIO BRANCO;12028037;;ESC JORNALISTA ARMANDO NOGUEIRA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;144,00
AC;RIO BRANCO;12029580;;ESC CENTRO DE EDUCACAO PROFISSIONAL E TECNOLOGICA ROBERVAL C;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;11,00
AC;RIO BRANCO;12029700;;ESC FABRICA DE ASAS URSFOC;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;146,00
AC;RIO BRANCO;12032115;;ESC PROF MARINA VICENTE GOMES;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
AC;RIO BRANCO;12032115;;ESC PROF MARINA VICENTE GOMES;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;29,00
