id_tabela,nome_coluna,chave,cobertura_temporal,valor
turma,tipo_localizacao_diferenciada,6,2012(1),Unidade de uso sustentável em área remanescente de quilombos
escola,tipo_local_funcionamento_galpao ,3,(1),Cedido
escola,tipo_local_funcionamento_galpao ,2,(1),Alugado
escola,tipo_local_funcionamento_galpao ,1,(1),Próprio
escola,tipo_local_funcionamento_galpao ,9,(1),Não informado
escola,tipo_responsavel_regulamentacao ,1,(1),Federal
escola,tipo_responsavel_regulamentacao ,2,(1),Estadual
escola,tipo_responsavel_regulamentacao ,3,(1),Municipal
escola,tipo_responsavel_regulamentacao ,9,(1),Não informado
escola,tipo_responsavel_regulamentacao ,5,(1),Federal e Estadual
escola,tipo_responsavel_regulamentacao ,4,(1),Estadual e Municipal
escola,tipo_responsavel_regulamentacao ,6,(1),"Federal, Estadual e Municipal"
escola,tipo_local_funcionamento_predio_escolar ,3,(1),Cedido
escola,tipo_local_funcionamento_predio_escolar ,2,(1),Alugado
escola,tipo_local_funcionamento_predio_escolar ,1,(1),Próprio
