Categorias e Variáveis (Métrica e dimensões);Detalhes;Categorias Implementada no Extrator;Categorias Internas do Banco de Dados;Varáveis Disponíveis no Banco de Dados;Variáveis Internas do Banco de Dados
D12 - Condição de Ocupação;Condição de ocupação na semana de referência para pessoas de 10 anos ou mais de idade;Ocupado;OCUP;OCUP_IBGE;OCUP_IBGE
D08 - Faixa de Anos de Estudo;Faixa de anos de estudo;Não Aplicável;.....;FXEDU1;FXEDU1
D08 - Faixa de Anos de Estudo;Faixa de anos de estudo;00 a 01 ano de estudo;00A01;FXEDU1;FXEDU1
D08 - Faixa de Anos de Estudo;Faixa de anos de estudo;01 a 03 anos de estudo;01A03;FXEDU1;FXEDU1
D08 - Faixa de Anos de Estudo;Faixa de anos de estudo;04 a 07 anos de estudo;04A07;FXEDU1;FXEDU1
D08 - Faixa de Anos de Estudo;Faixa de anos de estudo;08 a 10 anos de estudo;08A10;FXEDU1;FXEDU1
D08 - Faixa de Anos de Estudo;Faixa de anos de estudo;11 ou mais anos de estudo;11E++;FXEDU1;FXEDU1
D11 - Gênero;Gênero;Homem;HOM;genero;genero
D11 - Gênero;Gênero;Mulher;MUL;genero;genero
D03 - Chefe do Domicílio;Chefe do Domicílio;Não chefe de domicílio;0;chefed;chefed
D03 - Chefe do Domicílio;Chefe do Domicílio;Chefe de domicílio;1;chefed;chefed
Ocupação Agregada no trabalho principal da semana de referência;Ocupação Agregada no trabalho principal da semana de referência;"Membros das Forças Armadas / Auxiliares; Ocupações Mal Definidas / Não Declaradas";;ocup_agreg;ocup_agreg
Ocupação Agregada no trabalho principal da semana de referência;Ocupação Agregada no trabalho principal da semana de referência;"Dirigentes em Geral; Vendas / Prestação de Serviços de Comércio; Trabalhador da Produção, Reparo e Manutenção";1;ocup_agreg;ocup_agreg
Ocupação Agregada no trabalho principal da semana de referência;Ocupação Agregada no trabalho principal da semana de referência;"Trabalhador de Serviços Administrativos; Vendas / Prestação de Serviços de Comércio; Trabalhador da Produção, Reparo e Manutenção";2;ocup_agreg;ocup_agreg
