Categorias e Variáveis (Métrica e dimensões);Detalhes;Categorias Implementada no Extrator;Categorias Internas do Banco de Dados;Varáveis Disponíveis no Banco de Dados;Variáveis Internas do Banco de Dados
Anos de Estudo;Anos de Estudo;;;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;0;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;1;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;2;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;3;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;4;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;5;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;6;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;7;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;8;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;9;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;10;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;11;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;12;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;13;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;14;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;15;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;16;EDUCA;EDUCA
Anos de Estudo;Anos de Estudo;;17;EDUCA;EDUCA
População Economicamente Ativa pelo Critério do Lauro;População Economicamente Ativa pelo Critério do Lauro;;;pea;
M01 - Contagem de Registros;População Residente Estimada;Número de Pessoas;;Variáveis Calculadas;Variáveis Calculadas
M02 - Média da Renda (Todas as fontes, considerando a renda de menores de 10 anos);Rendimento mensal médio de todas as fontes, considerando a renda de menores de 10 anos (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M03 - Média da Renda (Todas as fontes, desconsiderando a renda de menores de 10 anos);Rendimento mensal médio de todas as fontes para pessoas de 10 anos ou mais de idade (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M04 - Média Salarial (Trabalho Principal);Salário mensal médio do trabalho Principal (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M05 - Média Salarial (Todos os Trabalhos);Salário mensal médio de todos os trabalhos (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M06 - Média da Renda Não Trabalho (Renda de Transferências + renda de ativos);Rendimento Médio Mensal referente à Aposentadoria, Pensão, Abono permanência, Doação de não morador, Aluguel, Juros, dividendos e transferências (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M07 - Média da Renda de Transferências (Aposentadoria, Pensão, Abono permanência, Doação de não morador);Rendimento Médio referente à Aposentadoria, Pensão, outros tipos de Aposentadoria e Pensão, Abono permanência e Doação de não morador (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M08 - Média da Renda de Ativos (Aluguel, Juros, Dividendos e Transferências oriundas de programas sociais);Rendimento Médio de Aluguel, Juros, dividendos, transferências (Programas Socias) (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M09 - Média de Tempo no Trabalho Principal (em anos);Número Médio de anos no trabalho principal da semana de referência, contados até a data de referência;Anos;;Variáveis Calculadas;Variáveis Calculadas
M10 - Média de Tempo no Trabalho Principal (em meses);Número Médio de meses no trabalho principal da semana de referência, contados até a data de referência;Meses;;Variáveis Calculadas;Variáveis Calculadas
M11 - Média de Horas Trabalhadas na Semana de Referência;Número Médio de horas habitualmente trabalhadas por semana no trabalho principal da semana de referência;Horas;;Variáveis Calculadas;Variáveis Calculadas
M12 - Média de Anos de Estudo;Média de Anos de Estudo;Anos;;Variáveis Calculadas;Variáveis Calculadas
M13 - Média de Indivíduos que possuem Trabalho com Carteira Assinada;Média de Indivíduos que possuem Trabalho com Carteira Assinada;Número de Pessoas;;Variáveis Calculadas;Variáveis Calculadas
M14 - Média de Idade da Família;Média de Idade da Família;Idade;;Variáveis Calculadas;Variáveis Calculadas
M15 - Somatório da Renda de Todas as Fontes (considerando a renda de menores de 10 anos);Rendimento mensal de todas as fontes, considerando a renda de menores de 10 anos (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M16 - Somatório da Renda de Todas as Fontes (desconsiderando a renda de menores de 10 anos);Rendimento mensal de todas as fontes para pessoas de 10 anos ou mais de idade (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M17 - Somatório Salarial do Trabalho Principal;Salário mensal do trabalho Principal (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M18 - Somatório Salarial de Todos os Trabalhos;Salário mensal de todos os trabalhos (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M19 - Somatório da Renda Não Trabalho (Renda de transferências + Renda de ativos);Rendimento Mensal referente à Aposentadoria, Pensão, Abono permanência, Doação de não morador, Aluguel, Juros, dividendos e transferências (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M20 - Somatório da Renda de Transferências (Aposentadoria, Pensão, Abono permanência, Doação de não morador);Rendimento referente à Aposentadoria, Pensão, outros tipos de Aposentadoria e Pensão, Abono permanência e Doação de não morador (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M21 - Somatório da Renda de Ativos (Aluguel, Juros, Dividendos e Transferências oriundas de programas sociais);Rendimento de Aluguel, Juros, dividendos, transferências (Programas Socias) (R$ 1,00 em 2012);R$ (1,00) em 2012;;Variáveis Calculadas;Variáveis Calculadas
M22 - Somatório de Tempo no Trabalho Principal (em anos);Número de anos no trabalho principal da semana de referência, contados até a data de referência;Anos;;Variáveis Calculadas;Variáveis Calculadas
M23 - Somatório de Tempo no Trabalho Principal (em meses);Número de meses no trabalho principal da semana de referência, contados até a data de referência;Meses;;Variáveis Calculadas;Variáveis Calculadas
M24 - Somatório de Horas Trabalhadas na Semana de Referência;Número de horas habitualmente trabalhadas por semana no trabalho principal da semana de referência;Horas;;Variáveis Calculadas;Variáveis Calculadas
M25 - Somatório de Anos de Estudo;Somatório de Anos de Estudo;Anos;;Variáveis Calculadas;Variáveis Calculadas
M26 - Somatório de Indivíduos que possuem Carteira Assinada;Somatório de Indivíduos que possuem Carteira Assinada;Número de Pessoas;;Variáveis Calculadas;Variáveis Calculadas
M27 - Somatório de Idade da Família;Somatório de Idade da Família;Idade;;Variáveis Calculadas;Variáveis Calculadas
